target,freq,exog,regime,mse_mean,mse_median,rmse_mean,rmse_median,mae_mean,mae_median,qlike_mean,qlike_median,var_1_hit_rate_mean,var_1_hit_rate_median,var_5_hit_rate_mean,var_5_hit_rate_median
SPY,daily,no_exog,CALM_17_19,15.835540259467313,1.8693075996647497,2.6365475291558895,1.3672262430427342,1.155096824297442,0.7450380396742345,0.41500901717065924,0.5174301054595605,0.030000000000000006,0.03333333333333333,0.05,0.03333333333333333
SPY,daily,no_exog,COVID,167.26662529521616,4.321555142181522,8.490692261071928,2.078835044485618,4.62869385633967,1.1510396767715718,1.9206263721499095,1.7657597362005732,0.022222222222222223,0.016666666666666666,0.03888888888888889,0.03333333333333333
SPY,daily,no_exog,ENERGY_22,8.49182904998225,8.382622635397285,2.523441878827093,2.7230632111131254,1.7304025367897633,1.764652637188628,1.3948132921884673,1.6634297734455523,0.016666666666666666,0.016666666666666666,0.07916666666666666,0.08333333333333333
SPY,daily,no_exog,GFC,100.08565274883978,10.8345679022353,7.252161862403336,3.2915904821583286,4.650798070532631,1.936622317914582,2.159795228653652,1.8209070570673493,0.03,0.016666666666666666,0.07333333333333333,0.06666666666666667
SPY,daily,no_exog,OIL_CRASH,0.9204831808709857,0.6497560906460372,0.9193224314885565,0.8060744944768053,0.6696274985463633,0.5762216383599861,0.44439596886278554,0.29135124963067466,0.01,0.016666666666666666,0.06,0.06666666666666667
SPY,daily,with_exog,CALM_17_19,15.70602850030049,1.8489335440498589,2.6260204038342585,1.3597549573543972,1.1462251947002684,0.7385163287812484,0.406825239460196,0.5078396068407315,0.030000000000000006,0.03333333333333333,0.05333333333333333,0.03333333333333333
SPY,daily,with_exog,COVID,165.31668340713023,4.413215968902467,8.451429156123755,2.1007655673355052,4.618569977553971,1.191785144366107,1.877876646796931,1.687748871847191,0.022222222222222223,0.016666666666666666,0.03333333333333333,0.03333333333333333
SPY,daily,with_exog,ENERGY_22,8.583193326373847,8.440924365681427,2.5359055752609883,2.7321689638615365,1.7484328478670959,1.7852758985485098,1.385279094502376,1.6586737775655767,0.016666666666666666,0.016666666666666666,0.07916666666666666,0.08333333333333333
SPY,daily,with_exog,GFC,99.5316113552169,10.707112757885396,7.233239710846563,3.272172482905722,4.643878676844711,1.9560344761535158,2.143574097699196,1.7918532944268457,0.03,0.016666666666666666,0.07333333333333333,0.06666666666666667
SPY,daily,with_exog,OIL_CRASH,0.9222436733407525,0.6393243175591402,0.918639554435204,0.7995775869539742,0.6661801294151125,0.5623989691622815,0.43937847753528025,0.2883720768139268,0.01,0.016666666666666666,0.06,0.06666666666666667
