mse,rmse,mae,qlike,var_1_hit_rate,var_1_exceptions,var_5_hit_rate,var_5_exceptions,target,freq,exog,window_id,regime,n_train,n_forecast,p,o,q
5.491011595350955,2.343290762016305,1.3878549323545346,1.5169608018632585,0.06666666666666667,4,0.1,6,SPY,daily,no_exog,d_GFC_1,GFC,904,60,1,1,1
10.8345679022353,3.2915904821583286,1.936622317914582,1.8209070570673493,0.016666666666666666,1,0.1,6,SPY,daily,no_exog,d_GFC_2,GFC,977,60,1,1,1
4.254589118176294,2.062665537157271,1.38296468002684,1.3977427336594572,0.05,3,0.06666666666666667,4,SPY,daily,no_exog,d_GFC_3,GFC,1052,60,1,1,1
411.2061370869609,20.278218291727725,13.714534299975425,3.412877836650383,0.0,0,0.03333333333333333,2,SPY,daily,no_exog,d_GFC_4,GFC,1175,60,1,1,1
68.64195804147546,8.285044238957054,4.832014122391773,2.650487714027812,0.016666666666666666,1,0.06666666666666667,4,SPY,daily,no_exog,d_GFC_5,GFC,1264,60,1,1,1
0.7929868309473573,0.8904980802603436,0.6089306951910902,0.28839347134641174,0.016666666666666666,1,0.06666666666666667,4,SPY,daily,no_exog,d_OIL_CRASH_1,OIL_CRASH,2659,60,1,1,1
0.42823172169248164,0.6543941638588181,0.542700128947941,0.262096829891065,0.016666666666666666,1,0.06666666666666667,4,SPY,daily,no_exog,d_OIL_CRASH_2,OIL_CRASH,2770,60,1,1,1
0.6497560906460372,0.8060744944768053,0.5762216383599861,0.3317475150574944,0.016666666666666666,1,0.05,3,SPY,daily,no_exog,d_OIL_CRASH_3,OIL_CRASH,2833,60,1,1,1
2.093357546898573,1.446843995356297,1.0766948052752499,1.0483907783882822,0.0,0,0.08333333333333333,5,SPY,daily,no_exog,d_OIL_CRASH_4,OIL_CRASH,2941,60,1,1,1
0.6380837141704793,0.7988014234905189,0.543590224957549,0.29135124963067466,0.0,0,0.03333333333333333,2,SPY,daily,no_exog,d_OIL_CRASH_5,OIL_CRASH,3020,60,1,1,1
496.230615153626,22.276234312684583,12.017031946925217,3.235238855718237,0.016666666666666666,1,0.05,3,SPY,daily,no_exog,d_COVID_1,COVID,4038,60,1,1,1
4.321555142181522,2.078835044485618,1.1510396767715718,1.7657597362005732,0.016666666666666666,1,0.03333333333333333,2,SPY,daily,no_exog,d_COVID_2,COVID,4102,60,1,1,1
1.247705589840977,1.1170074260455822,0.7180099453222211,0.7608805245309185,0.03333333333333333,2,0.03333333333333333,2,SPY,daily,no_exog,d_COVID_3,COVID,4179,60,1,1,1
16.91614926629625,4.112924660906914,2.9717557796049707,2.0390527932957214,0.0,0,0.11666666666666667,7,SPY,daily,no_exog,d_ENERGY_22_1,ENERGY_22,4514,60,1,1,1
13.739655229898931,3.7067040925732027,2.328594426904228,2.074256160306524,0.03333333333333333,2,0.08333333333333333,5,SPY,daily,no_exog,d_ENERGY_22_2,ENERGY_22,4604,60,1,1,1
3.0255900408956378,1.7394223296530482,1.2007108474730281,1.2878067535953834,0.016666666666666666,1,0.08333333333333333,5,SPY,daily,no_exog,d_ENERGY_22_3,ENERGY_22,4692,60,1,1,1
0.2859216628381825,0.5347164321752068,0.42054909317682687,0.1781374615562398,0.016666666666666666,1,0.03333333333333333,2,SPY,daily,no_exog,d_ENERGY_22_4,ENERGY_22,4809,60,1,1,1
0.30116215415172276,0.5487824287927984,0.37385936737981307,-0.3233478278511532,0.03333333333333333,2,0.03333333333333333,2,SPY,daily,no_exog,d_CALM_17_19_1,CALM_17_19,3282,60,1,1,1
0.0540248983853628,0.23243256739399235,0.19603780990215608,-0.859572306164853,0.0,0,0.0,0,SPY,daily,no_exog,d_CALM_17_19_2,CALM_17_19,3431,60,1,1,1
7.1934894503795865,2.6820681293322113,1.780809677374389,1.6548065042733782,0.05,3,0.08333333333333333,5,SPY,daily,no_exog,d_CALM_17_19_3,CALM_17_19,3668,60,1,1,1
1.8693075996647497,1.3672262430427342,0.7450380396742345,0.5174301054595605,0.016666666666666666,1,0.016666666666666666,1,SPY,daily,no_exog,d_CALM_17_19_4,CALM_17_19,3740,60,1,1,1
69.75971719475514,8.352228277217712,2.6797392271566167,1.0857286101363641,0.05,3,0.11666666666666667,7,SPY,daily,no_exog,d_CALM_17_19_5,CALM_17_19,3977,60,1,1,1
5.452928898674853,2.335150722903096,1.388868815641977,1.4894889717780608,0.06666666666666667,4,0.1,6,SPY,daily,with_exog,d_GFC_1,GFC,904,60,1,1,1
10.707112757885396,3.272172482905722,1.9560344761535158,1.7918532944268457,0.016666666666666666,1,0.1,6,SPY,daily,with_exog,d_GFC_2,GFC,977,60,1,1,1
4.26882763376263,2.0661141386096338,1.3920694196484753,1.3882620831157555,0.05,3,0.06666666666666667,4,SPY,daily,with_exog,d_GFC_3,GFC,1052,60,1,1,1
408.7505789340558,20.217580936750466,13.637607284746219,3.407713561251827,0.0,0,0.03333333333333333,2,SPY,daily,with_exog,d_GFC_4,GFC,1175,60,1,1,1
68.47860855170582,8.275180273063894,4.844813388033367,2.640552577923489,0.016666666666666666,1,0.06666666666666667,4,SPY,daily,with_exog,d_GFC_5,GFC,1264,60,1,1,1
0.7953387785619722,0.8918176823555206,0.60564947658625,0.2811238529850735,0.016666666666666666,1,0.06666666666666667,4,SPY,daily,with_exog,d_OIL_CRASH_1,OIL_CRASH,2659,60,1,1,1
0.42045857071202103,0.6484277683073274,0.5337770248852819,0.2536302514184023,0.016666666666666666,1,0.06666666666666667,4,SPY,daily,with_exog,d_OIL_CRASH_2,OIL_CRASH,2770,60,1,1,1
0.6393243175591402,0.7995775869539742,0.5623989691622815,0.3266221045370298,0.016666666666666666,1,0.05,3,SPY,daily,with_exog,d_OIL_CRASH_3,OIL_CRASH,2833,60,1,1,1
2.120718842393343,1.456268808425609,1.084986825105286,1.0471441019219692,0.0,0,0.08333333333333333,5,SPY,daily,with_exog,d_OIL_CRASH_4,OIL_CRASH,2941,60,1,1,1
0.6353778574772865,0.7971059261335889,0.544088351336463,0.2883720768139268,0.0,0,0.03333333333333333,2,SPY,daily,with_exog,d_OIL_CRASH_5,OIL_CRASH,3020,60,1,1,1
490.30310677942794,22.142789046988366,11.931204012580787,3.214395849197844,0.016666666666666666,1,0.05,3,SPY,daily,with_exog,d_COVID_1,COVID,4038,60,1,1,1
4.413215968902467,2.1007655673355052,1.191785144366107,1.687748871847191,0.016666666666666666,1,0.016666666666666666,1,SPY,daily,with_exog,d_COVID_2,COVID,4102,60,1,1,1
1.233727473060266,1.1107328540473924,0.7327207757150197,0.7314852193457576,0.03333333333333333,2,0.03333333333333333,2,SPY,daily,with_exog,d_COVID_3,COVID,4179,60,1,1,1
17.16315628388985,4.14284398498059,2.999947639391389,2.0348684255042766,0.0,0,0.11666666666666667,7,SPY,daily,with_exog,d_ENERGY_22_1,ENERGY_22,4514,60,1,1,1
13.839781822102792,3.7201857241410394,2.3581273845178825,2.043419235014356,0.03333333333333333,2,0.08333333333333333,5,SPY,daily,with_exog,d_ENERGY_22_2,ENERGY_22,4604,60,1,1,1
3.042066909260064,1.7441522035820336,1.2124244125791368,1.282479129626877,0.016666666666666666,1,0.08333333333333333,5,SPY,daily,with_exog,d_ENERGY_22_3,ENERGY_22,4692,60,1,1,1
0.28776829024268075,0.5364403883402896,0.4232319549799756,0.18034958786399433,0.016666666666666666,1,0.03333333333333333,2,SPY,daily,with_exog,d_ENERGY_22_4,ENERGY_22,4809,60,1,1,1
0.2919949339117541,0.5403655558154629,0.3617482477836184,-0.33661743610105327,0.03333333333333333,2,0.03333333333333333,2,SPY,daily,with_exog,d_CALM_17_19_1,CALM_17_19,3282,60,1,1,1
0.05278275489715047,0.22974497795849744,0.19179672777545403,-0.8712151135412287,0.0,0,0.0,0,SPY,daily,with_exog,d_CALM_17_19_2,CALM_17_19,3431,60,1,1,1
7.216836381007474,2.6864170154701363,1.7872839315951181,1.6467597883481093,0.05,3,0.08333333333333333,5,SPY,daily,with_exog,d_CALM_17_19_3,CALM_17_19,3668,60,1,1,1
1.8489335440498589,1.3597549573543972,0.7385163287812484,0.5078396068407315,0.016666666666666666,1,0.03333333333333333,2,SPY,daily,with_exog,d_CALM_17_19_4,CALM_17_19,3740,60,1,1,1
69.11959488763621,8.313819512572799,2.651780737565903,1.0873593517544213,0.05,3,0.11666666666666667,7,SPY,daily,with_exog,d_CALM_17_19_5,CALM_17_19,3977,60,1,1,1
