window_id,regime,fit_end,forecast_start,forecast_end
w_GFC_1,GFC,2007-10-05,2007-10-19,2008-04-11
w_GFC_2,GFC,2008-09-19,2008-10-03,2009-03-27
w_GFC_3,GFC,2009-05-08,2009-05-22,2009-11-13
w_OIL_CRASH_1,OIL_CRASH,2014-06-06,2014-06-20,2014-12-12
w_OIL_CRASH_2,OIL_CRASH,2015-01-30,2015-02-13,2015-08-07
w_OIL_CRASH_3,OIL_CRASH,2015-08-14,2015-08-28,2016-02-19
w_CALM_17_19_1,CALM_17_19,2017-06-23,2017-07-07,2017-12-29
w_CALM_17_19_2,CALM_17_19,2018-08-03,2018-08-17,2019-02-08
w_CALM_17_19_3,CALM_17_19,2019-04-12,2019-04-26,2019-10-18
