target,freq,exog,regime,mse_mean,mse_median,rmse_mean,rmse_median,mae_mean,mae_median,qlike_mean,qlike_median,var_1_hit_rate_mean,var_1_hit_rate_median,var_5_hit_rate_mean,var_5_hit_rate_median
SPY,daily,no_exog,CALM_17_19,19.998168787360193,4.267936706542969,2.9941162347793577,2.0658984184265137,1.3283560037612916,1.189874291419983,2.475355303287506,0.6008420586585999,0.04,0.016666666666666666,0.06333333333333332,0.03333333333333333
SPY,daily,no_exog,COVID,185.37898035844168,4.033269882202148,8.897803982098898,2.008300304412842,4.253841519355774,0.9498150944709778,2.3669418493906655,1.8151835203170776,0.02777777777777778,0.016666666666666666,0.06666666666666667,0.05
SPY,daily,no_exog,ENERGY_22,14.929786287248135,9.488413095474243,3.245936080813408,3.014960765838623,1.9525893852114677,1.8613287210464478,1.4873271696269512,1.7823558449745178,0.025,0.025,0.06666666666666667,0.06666666666666667
SPY,daily,no_exog,GFC,103.34966115951538,11.29320240020752,7.428222274780273,3.3605360984802246,4.416619181632996,2.3266079425811768,2.8866285562515257,3.3638086318969727,0.04666666666666667,0.03333333333333333,0.10333333333333332,0.1
SPY,daily,no_exog,OIL_CRASH,2.242374527454376,0.6494648456573486,1.2339884996414185,0.8058938384056091,0.7733328580856323,0.5655535459518433,0.5069794625043869,0.33052876591682434,0.01666666666666667,0.016666666666666666,0.07666666666666667,0.08333333333333333
SPY,daily,with_exog,CALM_17_19,19.848001329600812,2.225653648376465,3.0245650947093963,1.4918625354766846,1.3187871098518371,0.7619098424911499,0.6295688390731812,0.5363690257072449,0.043333333333333335,0.03333333333333333,0.06666666666666667,0.05
SPY,daily,with_exog,COVID,181.95250360171,8.135357856750488,9.194450855255127,2.852254867553711,4.487627307573955,1.8004348278045654,1.7302083571751912,1.2586559057235718,0.016666666666666666,0.016666666666666666,0.044444444444444446,0.05
SPY,daily,with_exog,ENERGY_22,9.64621439576149,9.248009204864502,2.6824063658714294,2.8691949248313904,1.6929028406739235,1.8356750011444092,4.166874449700117,2.0664952397346497,0.07083333333333333,0.06666666666666667,0.1125,0.11666666666666667
SPY,daily,with_exog,GFC,114.68684062957763,12.759692192077637,7.756190824508667,3.572071075439453,4.914736819267273,2.2173573970794678,3.6012482166290285,3.625946044921875,0.06,0.06666666666666667,0.10666666666666666,0.08333333333333333
SPY,daily,with_exog,OIL_CRASH,3.4611453890800474,0.6505154967308044,1.556191051006317,0.8065454363822937,0.8724201858043671,0.48602667450904846,0.531163239479065,0.2925659120082855,0.023333333333333334,0.016666666666666666,0.08666666666666667,0.08333333333333333
