mse,rmse,mae,qlike,var_1_hit_rate,var_1_exceptions,var_5_hit_rate,var_5_exceptions,target,freq,exog,window_id,regime,n_train,n_forecast,fit_algorithm,yearly_seasonality,weekly_seasonality,growth_term,changepoints_method,use_regressors,feature_sets_enabled
7.419744917627058,2.7239208721302934,1.4329308693691103,9.041519850307207,0.18333333333333332,11,0.2833333333333333,17,SPY,daily,no_exog,d_GFC_1,GFC,904,60,linear,8,0,linear,auto,True,False
13.919013638114611,3.730819432526132,1.9396858852942944,36.43214091709181,0.2,12,0.26666666666666666,16,SPY,daily,no_exog,d_GFC_2,GFC,977,60,linear,8,0,linear,auto,True,False
4.919918521774127,2.218088934595303,1.1626567035894775,5.703676805669444,0.13333333333333333,8,0.25,15,SPY,daily,no_exog,d_GFC_3,GFC,1052,60,linear,8,0,linear,auto,True,False
1133.0884684738423,33.66137947966248,20.427428165847065,3.5885032886885915,0.03333333333333333,2,0.08333333333333333,5,SPY,daily,no_exog,d_GFC_4,GFC,1175,60,linear,8,0,linear,auto,True,False
90.70214536343784,9.523767393392061,4.9241242917937,12.936145710019193,0.2,12,0.26666666666666666,16,SPY,daily,no_exog,d_GFC_5,GFC,1264,60,linear,8,0,linear,auto,True,False
1.1406522697733388,1.0680132348306077,0.5822793621127885,2.8133629228755654,0.13333333333333333,8,0.18333333333333332,11,SPY,daily,no_exog,d_OIL_CRASH_1,OIL_CRASH,2659,60,linear,8,0,linear,auto,True,False
0.5369037300942098,0.7327371493886534,0.4157350875957763,1.7219662269877507,0.11666666666666667,7,0.13333333333333333,8,SPY,daily,no_exog,d_OIL_CRASH_2,OIL_CRASH,2770,60,linear,8,0,linear,auto,True,False
0.71525408809932,0.8457269583614561,0.4393605758217291,2.6118632206623142,0.13333333333333333,8,0.2,12,SPY,daily,no_exog,d_OIL_CRASH_3,OIL_CRASH,2833,60,linear,8,0,linear,auto,True,False
3.2772357274436703,1.8103137096767705,1.1245607417536256,7.241231040201294,0.26666666666666666,16,0.3333333333333333,20,SPY,daily,no_exog,d_OIL_CRASH_4,OIL_CRASH,2941,60,linear,8,0,linear,auto,True,False
0.8132699488093144,0.9018148084885912,0.6366911030827477,0.5096108699425191,0.016666666666666666,1,0.03333333333333333,2,SPY,daily,no_exog,d_OIL_CRASH_5,OIL_CRASH,3020,60,linear,8,0,linear,auto,True,False
11299.570831180026,106.29943946785433,31.889856229404934,8.186909620801938,0.11666666666666667,7,0.13333333333333333,8,SPY,daily,no_exog,d_COVID_1,COVID,4038,60,linear,8,0,linear,auto,True,False
5.138289176450593,2.2667794723904207,1.114665097321408,12.089993746913256,0.15,9,0.23333333333333334,14,SPY,daily,no_exog,d_COVID_2,COVID,4102,60,linear,8,0,linear,auto,True,False
2.073886725415158,1.4400995539945,0.7639866059775168,4.389751482115757,0.1,6,0.15,9,SPY,daily,no_exog,d_COVID_3,COVID,4179,60,linear,8,0,linear,auto,True,False
18.944893996716903,4.352573261499099,2.709776237380932,3.349650064614825,0.11666666666666667,7,0.21666666666666667,13,SPY,daily,no_exog,d_ENERGY_22_1,ENERGY_22,4514,60,linear,8,0,linear,auto,True,False
13.707417097421821,3.7023529136782494,1.977001530416405,3.5206968316781926,0.06666666666666667,4,0.11666666666666667,7,SPY,daily,no_exog,d_ENERGY_22_2,ENERGY_22,4604,60,linear,8,0,linear,auto,True,False
3.3759158585497264,1.8373665553040108,1.0987602979596651,1.9560196817655142,0.05,3,0.16666666666666666,10,SPY,daily,no_exog,d_ENERGY_22_3,ENERGY_22,4692,60,linear,8,0,linear,auto,True,False
0.313537336717474,0.5599440478453843,0.37991601605362507,0.40365300569931434,0.016666666666666666,1,0.03333333333333333,2,SPY,daily,no_exog,d_ENERGY_22_4,ENERGY_22,4809,60,linear,8,0,linear,auto,True,False
0.2659129040513232,0.5156674355156851,0.21358700947698883,0.43035668002949745,0.05,3,0.06666666666666667,4,SPY,daily,no_exog,d_CALM_17_19_1,CALM_17_19,3282,60,linear,8,0,linear,auto,True,False
0.06677004458090782,0.2583990026701106,0.13793077711322976,3.9963445952015992,0.16666666666666666,10,0.18333333333333332,11,SPY,daily,no_exog,d_CALM_17_19_2,CALM_17_19,3431,60,linear,8,0,linear,auto,True,False
8.461682411830159,2.9088971126236416,1.535521446508972,11.675124999216719,0.21666666666666667,13,0.2833333333333333,17,SPY,daily,no_exog,d_CALM_17_19_3,CALM_17_19,3668,60,linear,8,0,linear,auto,True,False
2.466006790223718,1.5703524414040684,0.6340320511508398,3.6791442587706444,0.08333333333333333,5,0.11666666666666667,7,SPY,daily,no_exog,d_CALM_17_19_4,CALM_17_19,3740,60,linear,8,0,linear,auto,True,False
92.73388174268601,9.629843287545546,3.2768476252106096,4.5293755524339385,0.18333333333333332,11,0.2,12,SPY,daily,no_exog,d_CALM_17_19_5,CALM_17_19,3977,60,linear,8,0,linear,auto,True,False
6.796762628073963,2.6070601504518387,1.3995100322953553,4.785894948623241,0.1,6,0.2,12,SPY,daily,with_exog,d_GFC_1,GFC,904,60,linear,0,0,linear,,True,False
12.224834716624182,3.4964031112879677,1.7865689517456034,15.972108148150086,0.13333333333333333,8,0.21666666666666667,13,SPY,daily,with_exog,d_GFC_2,GFC,977,60,linear,0,0,linear,,True,False
4.560633668109719,2.135564016392325,1.1240920687261609,2.9574592197957554,0.15,9,0.16666666666666666,10,SPY,daily,with_exog,d_GFC_3,GFC,1052,60,linear,0,0,linear,,True,False
578.5705709940315,24.053493945662687,12.248372463515743,12.078635494799476,0.25,15,0.3333333333333333,20,SPY,daily,with_exog,d_GFC_4,GFC,1175,60,linear,0,0,linear,,True,False
78.61402327091969,8.866454943827307,4.579511753647966,3.563746150561266,0.08333333333333333,5,0.15,9,SPY,daily,with_exog,d_GFC_5,GFC,1264,60,linear,0,0,linear,,True,False
1.1532892737655926,1.073913066204892,0.5860880944752932,3.4805496849291555,0.16666666666666666,10,0.18333333333333332,11,SPY,daily,with_exog,d_OIL_CRASH_1,OIL_CRASH,2659,60,linear,0,0,linear,,True,False
0.568437612100504,0.7539480168423444,0.42591269595376907,3.113839197375275,0.11666666666666667,7,0.23333333333333334,14,SPY,daily,with_exog,d_OIL_CRASH_2,OIL_CRASH,2770,60,linear,0,0,linear,,True,False
0.7187502746399829,0.8477914098644683,0.4399371526696445,3.1731300958536037,0.16666666666666666,10,0.25,15,SPY,daily,with_exog,d_OIL_CRASH_3,OIL_CRASH,2833,60,linear,0,0,linear,,True,False
3.090635748086578,1.7580204060495366,1.0920213560903371,4.20842883967621,0.23333333333333334,14,0.3333333333333333,20,SPY,daily,with_exog,d_OIL_CRASH_4,OIL_CRASH,2941,60,linear,0,0,linear,,True,False
0.8677381193536327,0.9315246209057668,0.49297752116937554,2.0452468810335587,0.15,9,0.18333333333333332,11,SPY,daily,with_exog,d_OIL_CRASH_5,OIL_CRASH,3020,60,linear,0,0,linear,,True,False
846.7034605133617,29.09816936704716,12.461963314814769,5.474041719528774,0.11666666666666667,7,0.15,9,SPY,daily,with_exog,d_COVID_1,COVID,4038,60,linear,0,0,linear,,True,False
4.313834273802717,2.076977196264494,0.9751142329889528,1.8965825685135544,0.08333333333333333,5,0.11666666666666667,7,SPY,daily,with_exog,d_COVID_2,COVID,4102,60,linear,0,0,linear,,True,False
1.6309232681210981,1.2770760619951727,0.6940708152096978,1.0555418816010704,0.03333333333333333,2,0.1,6,SPY,daily,with_exog,d_COVID_3,COVID,4179,60,linear,0,0,linear,,True,False
20.004156117219495,4.472600598893164,2.69983864302816,5.830324990885236,0.21666666666666667,13,0.25,15,SPY,daily,with_exog,d_ENERGY_22_1,ENERGY_22,4514,60,linear,0,0,linear,,True,False
14.755619801008864,3.8413044400319096,1.99928337778406,5.7115225806160845,0.1,6,0.2,12,SPY,daily,with_exog,d_ENERGY_22_2,ENERGY_22,4604,60,linear,0,0,linear,,True,False
3.715751521418419,1.9276284707947273,1.1178872681915881,3.6118632655889744,0.16666666666666666,10,0.2,12,SPY,daily,with_exog,d_ENERGY_22_3,ENERGY_22,4692,60,linear,0,0,linear,,True,False
0.3767978732367791,0.6138386377842137,0.37686057038593757,2.089801812209908,0.1,6,0.15,9,SPY,daily,with_exog,d_ENERGY_22_4,ENERGY_22,4809,60,linear,0,0,linear,,True,False
0.2696910700678304,0.5193178892237685,0.20301540426553286,1.296026775656699,0.03333333333333333,2,0.06666666666666667,4,SPY,daily,with_exog,d_CALM_17_19_1,CALM_17_19,3282,60,linear,0,0,linear,,True,False
0.06266905057833062,0.2503378728405485,0.1343769232378388,0.95639527283129,0.08333333333333333,5,0.13333333333333333,8,SPY,daily,with_exog,d_CALM_17_19_2,CALM_17_19,3431,60,linear,0,0,linear,,True,False
8.229531114595384,2.8687159348034763,1.506483774632278,7.476439143451373,0.21666666666666667,13,0.23333333333333334,14,SPY,daily,with_exog,d_CALM_17_19_3,CALM_17_19,3668,60,linear,0,0,linear,,True,False
2.428032037977801,1.55821437484635,0.6298470141629502,3.3957702375437013,0.08333333333333333,5,0.11666666666666667,7,SPY,daily,with_exog,d_CALM_17_19_4,CALM_17_19,3740,60,linear,0,0,linear,,True,False
93.49574627787092,9.669319845670167,3.2511926731829512,5.383658743825838,0.18333333333333332,11,0.2,12,SPY,daily,with_exog,d_CALM_17_19_5,CALM_17_19,3977,60,linear,0,0,linear,,True,False
