target,freq,exog,regime,mse_mean,mse_median,rmse_mean,rmse_median,mae_mean,mae_median,qlike_mean,qlike_median,var_1_hit_rate_mean,var_1_hit_rate_median,var_5_hit_rate_mean,var_5_hit_rate_median
SPY,daily,no_exog,CALM_17_19,20.798850778674424,2.466006790223718,2.9766318559518106,1.5703524414040684,1.159583781892128,0.6340320511508398,4.86206921713048,3.9963445952015992,0.13999999999999999,0.16666666666666666,0.16999999999999998,0.18333333333333332
SPY,daily,no_exog,COVID,3768.9276690272977,5.138289176450593,36.66877283141309,2.2667794723904207,11.256169310901287,1.114665097321408,8.222218283276984,8.186909620801938,0.12222222222222223,0.11666666666666667,0.1722222222222222,0.15
SPY,daily,no_exog,ENERGY_22,9.08544107235148,8.541666477985775,2.613059194581686,2.76985973449113,1.5413635204526568,1.537880914188035,2.3075048959394615,2.6528348731901694,0.0625,0.058333333333333334,0.13333333333333333,0.14166666666666666
SPY,daily,no_exog,GFC,250.00985818295922,13.919013638114611,10.371595222461254,3.730819432526132,5.977365183178729,1.9396858852942944,13.54039731435525,9.041519850307207,0.15,0.18333333333333332,0.22999999999999998,0.26666666666666666
SPY,daily,no_exog,OIL_CRASH,1.2966631528439707,0.8132699488093144,1.0717211721492157,0.9018148084885912,0.6397253740733334,0.5822793621127885,2.9796068561338886,2.6118632206623142,0.13333333333333336,0.13333333333333333,0.17666666666666667,0.18333333333333332
SPY,daily,with_exog,CALM_17_19,20.897133910218052,2.428032037977801,2.973181183476862,1.55821437484635,1.1449831578963103,0.6298470141629502,3.7016580346617802,3.3957702375437013,0.12,0.08333333333333333,0.15,0.13333333333333333
SPY,daily,with_exog,COVID,284.2160726850952,4.313834273802717,10.817407541768942,2.076977196264494,4.71038278767114,0.9751142329889528,2.8087220565477993,1.8965825685135544,0.07777777777777778,0.08333333333333333,0.12222222222222223,0.11666666666666667
SPY,daily,with_exog,ENERGY_22,9.71308132822089,9.235685661213642,2.713843036876004,2.8844664554133184,1.5484674648474364,1.558585322987824,4.310878162325051,4.66169292310253,0.14583333333333334,0.13333333333333333,0.2,0.2
SPY,daily,with_exog,GFC,136.1533650555518,12.224834716624182,8.231795233524426,3.4964031112879677,4.227611053986165,1.7865689517456034,7.871568792385965,4.785894948623241,0.14333333333333334,0.13333333333333333,0.21333333333333332,0.2
SPY,daily,with_exog,OIL_CRASH,1.2797702055892581,0.8677381193536327,1.0730395039734018,0.9315246209057668,0.6073873640716838,0.49297752116937554,3.2042389397735604,3.1731300958536037,0.16666666666666666,0.16666666666666666,0.23666666666666666,0.23333333333333334
