Price,Close,High,Low,Open,Volume
Ticker,DX-Y.NYB,DX-Y.NYB,DX-Y.NYB,DX-Y.NYB,DX-Y.NYB
Date,,,,,
2000-01-01,100.80000305175781,101.83000183105469,99.70999908447266,101.66999816894531,0
2000-01-08,101.72000122070312,101.97000122070312,100.23999786376953,100.69999694824219,0
2000-01-15,101.76000213623047,102.11000061035156,101.12000274658203,101.80999755859375,0
2000-01-22,104.4800033569336,104.73999786376953,101.83999633789062,102.2300033569336,0
2000-01-29,104.29000091552734,105.36000061035156,103.41999816894531,104.44999694824219,0
2000-02-05,104.19000244140625,104.91000366210938,103.36000061035156,104.30000305175781,0
2000-02-12,104.62999725341797,105.08000183105469,103.66999816894531,104.19999694824219,0
2000-02-19,105.26000213623047,105.5,102.91999816894531,104.38999938964844,0
2000-02-26,106.0,106.86000061035156,104.58999633789062,105.27999877929688,0
2000-03-04,105.70999908447266,106.61000061035156,105.22000122070312,106.20999908447266,0
2000-03-11,105.19999694824219,105.88999938964844,104.83999633789062,105.76000213623047,0
2000-03-18,104.7699966430664,106.33999633789062,104.6500015258789,105.31999969482422,0
2000-03-25,105.44000244140625,106.5199966430664,104.4800033569336,104.66999816894531,0
2000-04-01,105.97000122070312,106.18000030517578,104.2300033569336,105.61000061035156,0
2000-04-08,105.75,106.41999816894531,105.4800033569336,106.08000183105469,0
2000-04-15,107.44999694824219,107.55000305175781,104.95999908447266,105.30000305175781,0
2000-04-22,110.13999938964844,110.31999969482422,106.77999877929688,107.08000183105469,0
2000-04-29,111.30999755859375,112.2300033569336,109.51000213623047,109.9000015258789,0
2000-05-06,109.9000015258789,111.86000061035156,109.80000305175781,111.30999755859375,0
2000-05-13,111.47000122070312,112.86000061035156,109.80999755859375,109.91000366210938,0
2000-05-20,109.12000274658203,111.97000122070312,109.0,111.4800033569336,0
2000-05-27,108.12000274658203,109.5199966430664,107.4000015258789,109.02999877929688,0
2000-06-03,106.98999786376953,108.04000091552734,105.55999755859375,107.80999755859375,0
2000-06-10,105.95999908447266,107.37000274658203,105.91999816894531,107.05999755859375,0
2000-06-17,108.01000213623047,108.19999694824219,105.58999633789062,106.0,0
2000-06-24,106.83999633789062,108.63999938964844,106.37000274658203,108.05999755859375,0
2000-07-01,107.6500015258789,107.69000244140625,106.69999694824219,106.81999969482422,0
2000-07-08,108.44999694824219,108.93000030517578,106.77999877929688,107.52999877929688,0
2000-07-15,108.41999816894531,109.91999816894531,108.29000091552734,108.31999969482422,0
2000-07-22,109.73999786376953,109.87000274658203,107.83000183105469,108.51000213623047,0
2000-07-29,110.8499984741211,111.6500015258789,109.3499984741211,109.76000213623047,0
2000-08-05,111.20999908447266,111.70999908447266,110.29000091552734,110.8499984741211,0
2000-08-12,111.01000213623047,111.58999633789062,110.0999984741211,111.20999908447266,0
2000-08-19,111.3499984741211,112.26000213623047,110.83999633789062,110.93000030517578,0
2000-08-26,111.41999816894531,112.93000030517578,111.06999969482422,111.26000213623047,0
2000-09-02,114.33999633789062,114.9000015258789,111.5,111.61000061035156,0
2000-09-09,115.94000244140625,115.98999786376953,114.12000274658203,114.80999755859375,0
2000-09-16,113.55999755859375,116.75,111.62000274658203,116.11000061035156,0
2000-09-23,113.25,114.19999694824219,112.63999938964844,113.41999816894531,0
2000-09-30,114.8499984741211,115.02999877929688,112.94999694824219,113.13999938964844,0
2000-10-07,115.86000061035156,115.95999908447266,113.87000274658203,114.66000366210938,0
2000-10-14,117.16000366210938,117.87000274658203,115.51000213623047,115.80999755859375,0
2000-10-21,117.38999938964844,119.06999969482422,117.0,117.19000244140625,0
2000-10-28,114.97000122070312,117.69000244140625,112.75,117.37000274658203,0
2000-11-04,115.79000091552734,116.62000274658203,114.3499984741211,114.91999816894531,0
2000-11-11,117.30999755859375,117.3499984741211,115.2699966430664,115.7300033569336,0
2000-11-18,118.4800033569336,118.69000244140625,116.91999816894531,117.19999694824219,0
2000-11-25,114.7300033569336,118.61000061035156,114.61000061035156,118.54000091552734,0
2000-12-02,114.05000305175781,114.94000244140625,112.79000091552734,114.69999694824219,0
2000-12-09,112.9000015258789,115.18000030517578,112.4800033569336,114.06999969482422,0
2000-12-16,110.81999969482422,113.66000366210938,110.47000122070312,112.9800033569336,0
2000-12-23,109.55999755859375,110.83000183105469,109.45999908447266,110.45999908447266,0
2000-12-30,108.41999816894531,110.4000015258789,108.08999633789062,109.33000183105469,0
2001-01-06,109.36000061035156,110.0999984741211,108.2300033569336,108.33000183105469,0
2001-01-13,110.66000366210938,111.0999984741211,109.37000274658203,109.94000244140625,0
2001-01-20,111.45999908447266,112.6500015258789,109.73999786376953,110.52999877929688,0
2001-01-27,110.31999969482422,112.08000183105469,109.4000015258789,111.52999877929688,0
2001-02-03,111.5199966430664,112.56999969482422,109.4800033569336,110.19999694824219,0
2001-02-10,112.26000213623047,113.27999877929688,111.04000091552734,111.6500015258789,0
2001-02-17,112.02999877929688,113.62000274658203,111.68000030517578,112.5199966430664,0
2001-02-24,111.16999816894531,113.06999969482422,110.81999969482422,112.16999816894531,0
2001-03-03,111.44000244140625,112.01000213623047,110.93000030517578,111.12999725341797,0
2001-03-10,115.31999969482422,115.76000213623047,111.37999725341797,111.47000122070312,0
2001-03-17,115.94000244140625,116.79000091552734,113.79000091552734,115.26000213623047,0
2001-03-24,117.37000274658203,117.62999725341797,114.94999694824219,116.05000305175781,0
2001-03-31,114.75,117.81999969482422,114.36000061035156,117.69999694824219,0
2001-04-07,115.54000091552734,116.66000366210938,114.61000061035156,114.70999908447266,0
2001-04-14,114.31999969482422,117.55999755859375,114.2300033569336,116.37000274658203,0
2001-04-21,115.62000274658203,115.8499984741211,113.86000061035156,114.19000244140625,0
2001-04-28,114.93000030517578,116.13999938964844,114.2699966430664,115.66999816894531,0
2001-05-05,116.83999633789062,117.08000183105469,115.08999633789062,115.16000366210938,0
