Date,y,SP500,Gold
2019-04-01,4158.18310546875,2867.19,1288.4000244140625
2019-04-02,4879.8779296875,2867.24,1290.0
2019-04-03,4973.02197265625,2873.4,1289.9000244140625
2019-04-04,4922.798828125,2879.39,1289.0
2019-04-05,5036.68115234375,2892.74,1290.4000244140625
2019-04-06,5059.8173828125,2892.74,1290.4000244140625
2019-04-07,5198.89697265625,2892.74,1290.4000244140625
2019-04-08,5289.77099609375,2895.77,1297.0999755859375
2019-04-09,5204.95849609375,2878.2,1303.5
2019-04-10,5324.5517578125,2888.21,1309.0999755859375
2019-04-11,5064.48779296875,2888.32,1288.5999755859375
2019-04-12,5089.5390625,2907.41,1290.5999755859375
2019-04-13,5096.58642578125,2907.41,1290.5999755859375
2019-04-14,5167.72216796875,2907.41,1290.5999755859375
2019-04-15,5067.1083984375,2905.58,1286.800048828125
2019-04-16,5235.5595703125,2907.06,1272.5999755859375
2019-04-17,5251.93798828125,2900.45,1272.199951171875
2019-04-18,5298.3857421875,2905.03,1271.9000244140625
2019-04-19,5303.8125,2905.03,1271.9000244140625
2019-04-20,5337.88623046875,2905.03,1271.9000244140625
2019-04-21,5314.53125,2905.03,1271.9000244140625
2019-04-22,5399.365234375,2907.97,1273.5
2019-04-23,5572.3623046875,2933.68,1269.300048828125
2019-04-24,5464.86669921875,2927.25,1275.5
2019-04-25,5210.515625,2926.17,1275.800048828125
2019-04-26,5279.34814453125,2939.88,1284.9000244140625
2019-04-27,5268.291015625,2939.88,1284.9000244140625
2019-04-28,5285.13916015625,2939.88,1284.9000244140625
2019-04-29,5247.3525390625,2943.03,1278.5999755859375
2019-04-30,5350.7265625,2945.83,1282.800048828125
2019-05-01,5402.697265625,2923.73,1281.4000244140625
2019-05-02,5505.28369140625,2917.52,1269.699951171875
2019-05-03,5768.28955078125,2945.64,1279.199951171875
2019-05-04,5831.16748046875,2945.64,1279.199951171875
2019-05-05,5795.70849609375,2945.64,1279.199951171875
2019-05-06,5746.80712890625,2932.47,1281.699951171875
2019-05-07,5829.50146484375,2884.05,1283.5
2019-05-08,5982.45751953125,2879.42,1279.4000244140625
2019-05-09,6174.52880859375,2870.72,1283.5
2019-05-10,6378.84912109375,2881.4,1285.699951171875
2019-05-11,7204.771484375,2881.4,1285.699951171875
2019-05-12,6972.37158203125,2881.4,1285.699951171875
2019-05-13,7814.9150390625,2811.87,1300.0999755859375
2019-05-14,7994.416015625,2834.41,1294.699951171875
2019-05-15,8205.16796875,2850.96,1296.300048828125
2019-05-16,7884.9091796875,2876.32,1285.0
2019-05-17,7343.8955078125,2859.53,1274.5
2019-05-18,7271.2080078125,2859.53,1274.5
2019-05-19,8197.689453125,2859.53,1274.5
2019-05-20,7978.30908203125,2840.23,1276.0999755859375
2019-05-21,7963.32763671875,2864.36,1272.0
2019-05-22,7680.06640625,2856.27,1273.5999755859375
2019-05-23,7881.8466796875,2822.24,1284.800048828125
2019-05-24,7987.37158203125,2826.06,1283.0
2019-05-25,8052.5439453125,2826.06,1283.0
2019-05-26,8673.2158203125,2826.06,1283.0
2019-05-27,8805.7783203125,2826.06,1283.0
2019-05-28,8719.9619140625,2802.39,1276.5
2019-05-29,8659.4873046875,2783.02,1280.5999755859375
2019-05-30,8319.47265625,2788.86,1287.0999755859375
2019-05-31,8574.501953125,2752.06,1305.800048828125
2019-06-01,8564.0166015625,2752.06,1305.800048828125
2019-06-02,8742.9580078125,2752.06,1305.800048828125
2019-06-03,8208.9951171875,2744.45,1322.699951171875
2019-06-04,7707.77099609375,2803.27,1323.4000244140625
2019-06-05,7824.2314453125,2826.15,1328.300048828125
2019-06-06,7822.0234375,2843.49,1337.5999755859375
2019-06-07,8043.951171875,2873.34,1341.199951171875
2019-06-08,7954.1279296875,2873.34,1341.199951171875
2019-06-09,7688.0771484375,2873.34,1341.199951171875
2019-06-10,8000.32958984375,2886.73,1324.699951171875
2019-06-11,7927.71435546875,2885.72,1326.4000244140625
2019-06-12,8145.857421875,2879.84,1331.9000244140625
2019-06-13,8230.923828125,2891.64,1339.199951171875
2019-06-14,8693.8330078125,2886.98,1340.0999755859375
2019-06-15,8838.375,2886.98,1340.0999755859375
2019-06-16,8994.48828125,2886.98,1340.0999755859375
2019-06-17,9320.3525390625,2889.67,1338.699951171875
2019-06-18,9081.7626953125,2917.75,1346.5999755859375
2019-06-19,9273.521484375,2926.46,1344.5999755859375
2019-06-20,9527.16015625,2954.18,1392.9000244140625
2019-06-21,10144.556640625,2950.46,1396.199951171875
2019-06-22,10701.69140625,2950.46,1396.199951171875
2019-06-23,10855.37109375,2950.46,1396.199951171875
2019-06-24,11011.1025390625,2945.35,1414.300048828125
2019-06-25,11790.9169921875,2917.38,1414.9000244140625
2019-06-26,13016.2314453125,2913.78,1411.5999755859375
2019-06-27,11182.806640625,2924.92,1408.4000244140625
2019-06-28,12407.33203125,2941.76,1409.699951171875
