mse,rmse,mae,qlike,var_1_hit_rate,var_1_exceptions,var_5_hit_rate,var_5_exceptions,target,freq,exog,window_id,regime,n_train,n_forecast,estimator,seasonality,global_trend_option,damped_factor,level_sm_input,use_regressors
6.574694955453642,2.5641167983252324,1.3554442707702143,2.2551169208780943,0.1,6,0.16666666666666666,10,SPY,daily,no_exog,d_GFC_1,GFC,904,60,stan-map,,linear,0.9,,True
13.218157315837049,3.6356783845435294,1.8889115338220608,3.8405449152344335,0.11666666666666667,7,0.2,12,SPY,daily,no_exog,d_GFC_2,GFC,977,60,stan-map,,linear,0.9,,True
4.766733678366243,2.1832850657589913,1.1482958138481618,3.1340503837158407,0.16666666666666666,10,0.25,15,SPY,daily,no_exog,d_GFC_3,GFC,1052,60,stan-map,,linear,0.9,,True
537.8608470466372,23.191827160589078,12.817576367525527,4.3442930298289815,0.1,6,0.16666666666666666,10,SPY,daily,no_exog,d_GFC_4,GFC,1175,60,stan-map,,linear,0.9,,True
82.9420520498862,9.107252716922167,4.590544415910112,3.681893914196203,0.06666666666666667,4,0.11666666666666667,7,SPY,daily,no_exog,d_GFC_5,GFC,1264,60,stan-map,,linear,0.9,,True
1.2800820426692987,1.1314071073973766,0.6126552206607176,24.655889509349056,0.2,12,0.23333333333333334,14,SPY,daily,no_exog,d_OIL_CRASH_1,OIL_CRASH,2659,60,stan-map,,linear,0.9,,True
0.7085183454422957,0.841735317924997,0.6983362039337178,0.4523670963002954,0.016666666666666666,1,0.05,3,SPY,daily,no_exog,d_OIL_CRASH_2,OIL_CRASH,2770,60,stan-map,,linear,0.9,,True
0.6702634702424043,0.8186962014339656,0.44093011868183246,1.279016268728864,0.06666666666666667,4,0.16666666666666666,10,SPY,daily,no_exog,d_OIL_CRASH_3,OIL_CRASH,2833,60,stan-map,,linear,0.9,,True
4.25366440549209,2.0624413701950632,1.7751454808530076,1.3285878663075468,0.0,0,0.0,0,SPY,daily,no_exog,d_OIL_CRASH_4,OIL_CRASH,2941,60,stan-map,,linear,0.9,,True
0.8159961121404623,0.9033250312819092,0.50684673666822,0.9230860664106586,0.03333333333333333,2,0.08333333333333333,5,SPY,daily,no_exog,d_OIL_CRASH_5,OIL_CRASH,3020,60,stan-map,,linear,0.9,,True
1610.4247502288404,40.13009780985888,35.95733008306758,4.029756065565554,0.016666666666666666,1,0.03333333333333333,2,SPY,daily,no_exog,d_COVID_1,COVID,4038,60,stan-map,,linear,0.9,,True
3.786230927281194,1.9458239712988412,1.1781777285676467,1.1242793413383807,0.03333333333333333,2,0.05,3,SPY,daily,no_exog,d_COVID_2,COVID,4102,60,stan-map,,linear,0.9,,True
2.875903594912217,1.6958489304511228,1.499975609878735,1.0930742808598657,0.0,0,0.0,0,SPY,daily,no_exog,d_COVID_3,COVID,4179,60,stan-map,,linear,0.9,,True
20.428302563161633,4.519767976695444,2.6264953046390214,5.809530193378868,0.16666666666666666,10,0.25,15,SPY,daily,no_exog,d_ENERGY_22_1,ENERGY_22,4514,60,stan-map,,linear,0.9,,True
14.316003299246782,3.7836494683369892,1.9720831446725549,3.804414408030621,0.08333333333333333,5,0.18333333333333332,11,SPY,daily,no_exog,d_ENERGY_22_2,ENERGY_22,4604,60,stan-map,,linear,0.9,,True
3.1364202623170856,1.7709941451955977,1.217412560205919,1.3015665288960958,0.016666666666666666,1,0.05,3,SPY,daily,no_exog,d_ENERGY_22_3,ENERGY_22,4692,60,stan-map,,linear,0.9,,True
35.327968718443934,5.943733567249119,5.608520651772013,1.8323655036361732,0.0,0,0.0,0,SPY,daily,no_exog,d_ENERGY_22_4,ENERGY_22,4809,60,stan-map,,linear,0.9,,True
0.245872541505693,0.4958553634939255,0.2468123870650984,-0.4262833890302881,0.03333333333333333,2,0.05,3,SPY,daily,no_exog,d_CALM_17_19_1,CALM_17_19,3282,60,stan-map,,linear,0.9,,True
0.06492121985815717,0.2547964282680532,0.13519223823443674,2.3734445873370875,0.08333333333333333,5,0.16666666666666666,10,SPY,daily,no_exog,d_CALM_17_19_2,CALM_17_19,3431,60,stan-map,,linear,0.9,,True
7.436197628830153,2.7269392418662637,1.5111895577827819,2.4536487707071144,0.13333333333333333,8,0.18333333333333332,11,SPY,daily,no_exog,d_CALM_17_19_3,CALM_17_19,3668,60,stan-map,,linear,0.9,,True
