date,ret,ret_lag1,ret_sq_lag1,neg_ret_sq_lag1,RV_5_lag1,RV_10_lag1,RV_22_lag1,logvol_lag1,logvol_z22_lag1,absret_logvol_lag1
2008-08-08,-0.057974136325325,-0.01917685245706302,0.000367751670159964,0.000367751670159964,0.023469379338029273,0.028098736962671244,0.030615240773399367,12.435122718948453,2.0560886999896373,0.23846651366674682
2008-08-15,-0.08741416542294722,-0.057974136325325,0.0033610004826673677,0.0033610004826673677,0.03273061185062773,0.030911074916631493,0.03275921180220456,8.551208070003515,0.5223870799744322,0.495748902396603
2008-08-22,0.05133149110506885,-0.08741416542294722,0.0076412363165903815,0.0076412363165903815,0.0334708147179728,0.04024130523832823,0.03625126036783784,6.608000625296087,-0.2524789020076827,0.5776328597745708
2008-08-29,0.0022936732032015072,0.05133149110506885,0.0026349219790697625,0.0,0.051995537632055985,0.04452641382333496,0.03491123819845516,5.6240175061873385,-0.6394858640822366,0.28868920459360686
2008-09-05,-0.03897476869925498,0.0022936732032015072,5.260936763084663e-06,0.0,0.053732288043546,0.04240810887228846,0.034752316943285816,7.113142108707088,0.034753574246542115,0.01631522344530571
2008-09-12,-0.04789411185937631,-0.03897476869925498,0.0015190325951604257,0.0015190325951604257,0.05418249784274345,0.040996926719534865,0.03529232265960279,5.924255797414532,-0.41942875952705366,0.23089649941945176
2008-09-19,0.1239167158570007,-0.04789411185937631,0.0022938459507984505,0.0022938459507984505,0.05287398437890816,0.04164869808263041,0.03602424282135138,5.3471075307174685,-0.6175970737463796,0.25609496620029587
2008-09-26,0.02558217952381625,0.1239167158570007,0.01535535246878465,0.0,0.071000167885441,0.06061053545625923,0.04578436583725553,5.384495062789089,-0.5694278839422893,0.6672289447290587
2008-10-03,-0.06311242150861407,0.02558217952381625,0.0006544479091887635,0.0,0.06889289297041425,0.061680823689846696,0.04580270774201068,9.559305672844863,1.1721647524250298,0.24454787384575238
2008-10-10,0.03146967428286551,-0.06311242150861407,0.0039831777486809715,0.0039831777486809715,0.07714565789688205,0.06374823135831814,0.047166986342641846,8.479698986988657,0.6677518969337307,0.5351743367329959
2008-10-17,-0.08575815722645963,0.03146967428286551,0.000990340399469647,0.0,0.07466295462341839,0.06503780622893232,0.04712749052124668,6.947937068614969,-0.0036240276922604904,0.2186493164871605
2008-10-24,-0.07400020378027428,-0.08575815722645963,0.00735446153087817,0.00735446153087817,0.08386257188500659,0.06802596923276436,0.05021274846466512,6.093569770045136,-0.3724584452052286,0.5225733144099322
2008-10-31,-0.01701401869635788,-0.07400020378027428,0.005476030159522119,0.005476030159522119,0.056919404257515134,0.06641802015538938,0.05155639808993406,6.1779441140506,-0.4611468384361942,0.45716912338289045
2008-11-07,0.02262168798370645,-0.01701401869635788,0.0002894768322000155,0.0002894768322000155,0.048492560368055423,0.06312460977004837,0.0511029065208186,6.003887067106539,-0.48366029997431853,0.10215024681057193
2008-11-14,0.012469681742782512,0.02262168798370645,0.0005117407672321689,0.0,0.053879317185377786,0.06404077126482827,0.05142031681390193,4.74493212836325,-1.085194348663225,0.10733837411169761
2008-11-21,0.06429433323883504,0.012469681742782512,0.00015549296276628352,0.0,0.04942797926023456,0.06372685253916555,0.05142687406250098,6.9874902470009905,0.19400035834852136,0.08713177956089913
2008-11-28,0.03047689033149048,0.06429433323883504,0.004133761286626369,0.0,0.05136264613323685,0.06560869205090097,0.05292952736996959,5.0689042022202315,-0.8595524764078802,0.3259018159332789
2008-12-05,-0.08391978685412038,0.03047689033149048,0.0009288408442776979,0.0,0.029463335415527737,0.05185148085253509,0.05292570688405124,12.838466133444403,2.6612872116344835,0.39127652437353966
2008-12-12,0.08722235501586617,-0.08391978685412038,0.0070425306256409964,0.0070425306256409964,0.05556576777517192,0.056002110738871215,0.05541891418735795,8.718827059242566,0.750792412125905,0.7316821084295734
2008-12-19,0.021144990654553553,0.08722235501586617,0.007607739214513794,0.0,0.0660007443674842,0.06189209483338737,0.05864864409013014,7.208600337960199,0.049480145471546076,0.6287510978450573
2008-12-26,0.03984590740698657,0.021144990654553553,0.0004471106297811571,0.0,0.06579771839906405,0.06137021507630589,0.05895415848476888,6.920671504248683,-0.1291121527238502,0.14633753428057347
2009-01-02,0.009604422468964202,0.03984590740698657,0.0015876963370861472,0.0,0.06288408692784665,0.05489039159470103,0.05942714640479758,6.249975242259483,-0.4542859163034747,0.2490359347990298
2009-01-09,-0.02827492075124205,0.009604422468964202,9.224493096234443e-05,0.0,0.0626201687704329,0.046319194816276485,0.05936723940176241,6.470799503782602,-0.26764294700661095,0.06214829214629203
2009-01-16,-0.01771420932416312,-0.02827492075124205,0.0007994711434890183,0.0007994711434890183,0.042361530873689816,0.04740734884673078,0.05835174691945888,6.440946540632921,-0.2354512205051727,0.18211725299938247
2009-01-23,0.06459064746105803,-0.01771420932416312,0.0003137932119802677,0.0003137932119802677,0.027925003722275535,0.048627996075747436,0.05519709066532443,5.176149732573829,-0.8922333391067305,0.09169139985602377
2009-01-30,0.03511828063658218,0.06459064746105803,0.004171951739438681,0.0,0.03885532968529906,0.051227283410863196,0.05581903040252917,5.111987788356544,-0.905331028202894,0.3301866010629712
2009-02-06,-0.014555941649815551,0.03511828063658218,0.0012332936348697428,0.0,0.038107621549292627,0.04913166300067297,0.056220124606586395,12.275617364721167,2.4207282483589947,0.4310985756015793
2009-02-13,0.02975316510490078,-0.014555941649815551,0.00021187543731283507,0.00021187543731283507,0.04007375586933,0.04969843624341623,0.05554600774730562,8.738735461363474,0.7318191861616653,0.12720052346878072
2009-02-20,0.062079300641211255,0.02975316510490078,0.0008852508337594855,0.0,0.03509597601766109,0.03683229987954566,0.05440110557377798,7.8632667240095735,0.28462621536114857,0.2339570731033291
2009-02-27,-0.062079300641211255,0.062079300641211255,0.003853839568101892,0.0,0.0319821870571111,0.03254502595241098,0.04960579738968133,7.8168199657645525,0.21575644019934428,0.4852627167129203
2009-03-06,0.0006370520429017645,-0.062079300641211255,0.003853839568101892,0.003853839568101892,0.048815389611643285,0.041636220100697396,0.05151802638973078,7.970394907191429,0.33022791828250203,0.4947965416727158
2009-03-13,-0.013141904012288208,0.0006370520429017645,4.0583530536531165e-07,0.0,0.04678425586260894,0.04053716971235514,0.049375298587287876,7.272398392570047,0.0197994272109197,0.004632896252782257
2009-03-20,0.02757917724470449,-0.013141904012288208,0.0001727096410681969,0.0001727096410681969,0.046654433297203056,0.04106660893741642,0.04918739330165108,7.2196420401307355,-0.011912636568559738,0.09487984269447873
2009-03-27,-0.034919438869673414,0.02757917724470449,0.0007606110174948259,0.0,0.046357196241713514,0.039717333195565224,0.0451296317346838,6.536691597591305,-0.35615473178352025,0.18027657616394113
2009-04-03,-0.030135377038259747,-0.034919438869673414,0.0012193672109728584,0.0012193672109728584,0.03414898001176241,0.04144539163854788,0.042395699564995046,11.595021447846133,1.836552139207297,0.40489164264061517
2009-04-10,-0.015075055956718764,-0.030135377038259747,0.0009081409492380728,0.0009081409492380728,0.025306248068925247,0.038150757197703916,0.042893798254424284,11.223962572618724,1.4909746175625662,0.3382383439891811
2009-04-17,-0.016918541960351696,-0.015075055956718764,0.00022725731209820188,0.00022725731209820188,0.024622056310658502,0.03627780486878342,0.04312304521140578,7.5766097669730375,-0.13422043310515921,0.11421781619934045
2009-04-24,0.051892552631301214,-0.016918541960351696,0.000286237062064181,0.000286237062064181,0.02468004551078778,0.0363546673049194,0.04344524812596623,7.735870319952567,-0.07845571412591347,0.1308796466079568
2009-05-01,-0.028871648626087598,0.051892552631301214,0.0026928370185923664,0.0,0.035092838275553796,0.039277863857276836,0.04274219968768207,7.54274354536855,-0.22482802714791086,0.391412216412445
2009-05-08,0.029746975627408467,-0.028871648626087598,0.0008335720943882658,0.0008335720943882658,0.034066685316057735,0.03247236682045894,0.04302939349077322,8.01102337918644,0.11244074942479282,0.23129145213924382
2009-05-15,0.017883747168600195,0.029746975627408467,0.0008848825589776334,0.0,0.03477956256899023,0.029628665617137426,0.038588552495752194,5.996452088619021,-0.8989554446427094,0.17837631413107263
2009-05-22,0.02921767613695536,0.017883747168600195,0.0003198284127904155,0.0,0.03331631831966739,0.030351899593989273,0.034509679608673904,4.962844630259907,-1.335019236733255,0.08875425860461329
2009-05-29,0.02095775661139143,0.02921767613695536,0.0008536725988440108,0.0,0.029958375914429958,0.03143598403812017,0.03472257495607517,5.676753802268282,-0.9239845539113929,0.1658615541039046
2009-06-05,-0.017624754685474642,0.02095775661139143,0.00043922756218232125,0.0,0.024396669743889734,0.030927298946074797,0.034078406292151024,12.359720341739521,2.0517164206060117,0.2590320107070406
