date,ret_pct,realized_var,pred_var,pred_vol,VaR_1,VaR_5
2020-03-12,-3.225585460662842,10.404401779174805,2.5525217056274414,1.5976613238191133,-3.7167160241038695,-2.627919023123959
2020-03-13,-4.741635322570801,22.483104705810547,2.518580675125122,1.5870036783590395,-3.6919226332455457,-2.610388756334194
2020-03-16,-1.9856680631637573,3.942877769470215,2.266930341720581,1.5056328708289353,-3.5026258281389016,-2.4765456884403316
2020-03-17,2.590818405151367,6.712339878082275,3.4072470664978027,1.8458729822221795,-4.294142687941994,-3.0361908696998823
2020-03-18,-3.171271800994873,10.056964874267578,3.147200345993042,1.7740350464387793,-4.127022658756799,-2.9180279804738496
2020-03-19,0.08795472234487534,0.007736033294349909,4.304228782653809,2.0746635348060196,-4.82638910354604,-3.4125178399296434
2020-03-20,0.3645467162132263,0.13289430737495422,4.968923091888428,2.2291081382221964,-5.1856809783603435,-3.6665566060218233
2020-03-23,5.4421820640563965,29.617345809936523,3.90177845954895,1.975291993490823,-4.59521632966727,-3.249066199781584
2020-03-24,5.77750825881958,33.379600524902344,7.753467082977295,2.7845048182715173,-6.477726864242422,-4.580102849597755
2020-03-25,-1.6947954893112183,2.8723318576812744,8.46747875213623,2.909893254422957,-6.7694239861126295,-4.786348473579224
2020-03-26,1.0845783948898315,1.1763103008270264,2.739178419113159,1.6550463495362173,-3.8502135566826334,-2.722308990807441
2020-03-27,-1.6005198955535889,2.561663866043091,3.7583658695220947,1.9386505279503303,-4.509975534205404,-3.1887963522904874
2020-03-30,-0.11707229167222977,0.013705921359360218,3.1068615913391113,1.7626291701146646,-4.100488622618621,-2.8992669834335696
2020-03-31,-2.40855073928833,5.801116466522217,4.36160135269165,2.0884447210045205,-4.858448936760683,-3.435185874031941
2020-04-01,-0.3289523124694824,0.10820962488651276,2.849461555480957,1.6880348205771578,-3.926956216156583,-2.776570197046716
2020-04-02,2.9653537273406982,8.793322563171387,3.498689651489258,1.8704784552325797,-4.351383577769508,-3.0766632712238957
2020-04-03,0.49088889360427856,0.2409719079732895,3.108617067337036,1.7631270706721724,-4.101646912522064,-2.9000859569714477
2020-04-06,2.615913152694702,6.843001842498779,3.63203501701355,1.9057898669616096,-4.433530205374717,-3.1347453748791674
2020-04-07,-0.7301456928253174,0.5331127047538757,3.8496720790863037,1.9620581232691103,-4.564429743811656,-3.2272984203487947
2020-04-08,0.036032404750585556,0.0012983342166990042,4.28855562210083,2.0708828122568477,-4.817593827681435,-3.4062991047321405
2020-04-09,4.163343906402588,17.333433151245117,4.310910224914551,2.0762731575865807,-4.830133646079606,-3.415165433798273
2020-04-13,0.49411752820014954,0.24415212869644165,6.960043430328369,2.6381894227534857,-6.137346354939604,-4.339435440601082
2020-04-14,0.6797057390213013,0.46199989318847656,4.19575834274292,2.0483550333726135,-4.765186377167235,-3.369244205927247
2020-04-15,-1.693544864654541,2.8680942058563232,4.052164554595947,2.012998895825814,-4.682935701750942,-3.311088534848399
