date,ret_pct,realized_var,pred_var,pred_vol,VaR_1,VaR_5
2020-07-17,-0.39341050386428833,0.1547718197107315,5.050617694854736,2.247357936523405,-5.228136357840034,-3.6965748529486993
2020-07-20,0.540544867515564,0.29218876361846924,4.731667518615723,2.175239646249517,-5.060364126581915,-3.577950821622155
2020-07-21,2.7789578437805176,7.722606658935547,3.542579174041748,1.8821740551930228,-4.378591611873117,-3.095900821238204
2020-07-22,-0.14308983087539673,0.02047470025718212,4.202919960021973,2.050102426714815,-4.769251421953978,-3.372118412203878
2020-07-23,-2.0007944107055664,4.003178119659424,4.5321125984191895,2.128875900192209,-4.952505924508927,-3.5016892457607356
2020-07-24,0.534244179725647,0.285416841506958,4.6592116355896,2.1585207053882063,-5.0214700540529895,-3.5504506111076415
2020-07-27,0.7479768991470337,0.55946946144104,4.282392978668213,2.069394350690127,-4.8141311482801035,-3.4038508033255424
2020-07-28,-1.3552907705307007,1.8368130922317505,3.4803969860076904,1.8655822110021554,-4.339993210413275,-3.068609666143042
2020-07-29,0.5588631629943848,0.312328040599823,4.113420486450195,2.0281569185963386,-4.718198535797815,-3.336021263579909
2020-07-30,-3.3258450031280518,11.06124496459961,3.242234945297241,1.8006207111152646,-4.188870163256903,-2.961757507441882
2020-07-31,0.8729380369186401,0.7620208263397217,4.279606819152832,2.068721058807309,-4.8125648371399,-3.402743336730092
2020-08-03,1.8209112882614136,3.315717935562134,3.256025791168213,1.8044461175574662,-4.197769389401061,-2.968049741102901
2020-08-04,1.668524980545044,2.783975601196289,3.757762908935547,1.9384950113259376,-4.509613748436871,-3.188540550206804
2020-08-05,1.168204665184021,1.3647021055221558,3.196101188659668,1.7877642989666362,-4.158961676187149,-2.940610591289628
2020-08-06,-0.5704742670059204,0.3254408836364746,3.196101188659668,1.7877642989666362,-4.158961676187149,-2.940610591289628
2020-08-07,-1.7554845809936523,3.08172607421875,3.510453701019287,1.8736204794512914,-4.358693019130892,-3.081831441156013
2020-08-10,1.731638789176941,2.998572826385498,4.002838134765625,2.0007094078765224,-4.654346077587057,-3.29087412602163
2020-08-11,-0.7899454832077026,0.6240138411521912,3.0456833839416504,1.7451886384977557,-4.059915878969483,-2.8705798617475353
2020-08-12,2.5155515670776367,6.327999591827393,3.602391481399536,1.8979967021571813,-4.415400592999886,-3.1219267594851727
2020-08-13,-1.012837529182434,1.0258398056030273,3.72668194770813,1.9304615892858707,-4.490925214152688,-3.1753267468273676
2020-08-14,-0.5460034012794495,0.2981197237968445,3.699697256088257,1.923459710024688,-4.474636407219145,-3.163809680329135
2020-08-17,2.073103904724121,4.297760009765625,3.5489044189453125,1.8838536086822968,-4.382498837562227,-3.0986634408866953
2020-08-18,0.0,0.0,3.0456833839416504,1.7451886384977557,-4.059915878969483,-2.8705798617475353
2020-08-19,0.09322050958871841,0.00869006384164095,3.260751724243164,1.8057551673034649,-4.200814694494678,-2.9702029363254665
2020-08-20,-0.818618655204773,0.6701365113258362,3.221360921859741,1.7948150104842953,-4.17536408393673,-2.9522079797020377
2020-08-21,-0.5652433037757874,0.31949999928474426,3.0054771900177,1.733631215114016,-4.033029291651331,-2.851569591976577
2020-08-24,0.6591331958770752,0.43445655703544617,3.140369176864624,1.7721086808840545,-4.122541262343939,-2.914859391104326
2020-08-25,1.6983065605163574,2.8842451572418213,2.624943971633911,1.6201678837805393,-3.7690741120221056,-2.6649390199067113
2020-08-26,0.09223177284002304,0.008506699465215206,2.675006151199341,1.6355446038550403,-3.804845712077142,-2.6902314736918718
2020-08-27,-0.8099048137664795,0.6559457778930664,2.785438299179077,1.668963240811216,-3.8825890871134843,-2.745200239897012
