date,ret_pct,realized_var,pred_var,pred_vol,VaR_1,VaR_5
2014-06-20,0.9280380606651306,0.8612546324729919,2.5152101516723633,1.5859414086505097,-3.6894514243674497,-2.6086414781513176
2014-06-27,0.4167419373989105,0.1736738383769989,1.214674949645996,1.1021229285547036,-2.5639213317749,-1.8128308963795825
2014-07-04,1.2081397771835327,1.4596017599105835,1.528067708015442,1.236150358174701,-2.8757157577345396,-2.0332864001010185
2014-07-11,-0.8054814338684082,0.6488003134727478,1.7954607009887695,1.3399480217488922,-3.1171852317207653,-2.2040183635001154
2014-07-18,0.5579481720924377,0.3113061487674713,2.576432466506958,1.6051269315873302,-3.734083624863884,-2.6401988551389075
2014-07-25,0.0050084516406059265,2.5084587832679972e-05,1.5811576843261719,1.2574409267739666,-2.925245026732562,-2.0683062690813796
2014-08-01,-2.6755218505859375,7.158417224884033,2.747253656387329,1.6574841345808802,-3.855884692738653,-2.726318790379883
2014-08-08,0.38364213705062866,0.14718128740787506,2.1228513717651367,1.457000813920547,-3.389490745939839,-2.396553073248459
2014-08-15,1.2751977443695068,1.6261292695999146,1.9348667860031128,1.3909948907178318,-3.2359380068230994,-2.2879829910681924
2014-08-22,1.7574234008789062,3.0885369777679443,1.8969911336898804,1.3773130122415458,-3.2041091979169067,-2.265478303632964
2014-08-29,0.7602075338363647,0.5779154896736145,2.174607038497925,1.4746548879307066,-3.4305602634815338,-2.4255914409145394
2014-09-05,0.19909779727458954,0.03963993117213249,2.361030340194702,1.5365644601495578,-3.574583465195636,-2.527423625321731
2014-09-12,-0.9894278049468994,0.9789673686027527,2.0045368671417236,1.4158166785081052,-3.2936821200788953,-2.3288111987424434
2014-09-19,0.7853404879570007,0.6167596578598022,3.9612066745758057,1.9902780395150337,-4.630079085975971,-3.2737160519381687
2014-09-26,-0.9385789632797241,0.880930483341217,2.902200937271118,1.7035847314621948,-3.9631307182855133,-2.8021475243647407
2014-10-03,-0.6997766494750977,0.48968735337257385,3.9411914348602295,1.9852434195484012,-4.618366808519992,-3.265434839025731
2014-10-10,-3.090221881866455,9.549470901489258,2.6561684608459473,1.6297755860381353,-3.7914249697434816,-2.680742283811788
2014-10-17,-1.0923054218292236,1.1931310892105103,5.12382698059082,2.2635871930612304,-5.2658912542840675,-3.723269604427667
2014-10-24,4.136717796325684,17.11243438720703,3.3971686363220215,1.8431409702792734,-4.28778707776676,-3.0316971099467183
2014-10-31,2.6276791095733643,6.904697418212891,0.7304186224937439,0.8546453197050481,-1.9882023225547933,-1.405766453873949
2014-11-07,0.8296595811843872,0.6883350014686584,0.9790714383125305,0.9894803880383535,-2.30187559711813,-1.6275504050622358
2014-11-14,0.44162604212760925,0.19503356516361237,2.425098180770874,1.5572726738663574,-3.622757974150896,-2.561485605761495
2014-11-21,1.187580943107605,1.4103485345840454,2.6036038398742676,1.6135686659929498,-3.7537220357516143,-2.654084272593752
2014-11-28,0.2512621581554413,0.06313267350196838,1.1363810300827026,1.0660117401242364,-2.4799141453405946,-1.7534332771162005
2014-12-05,0.3853827118873596,0.148519828915596,1.946394920349121,1.3951325816384337,-3.2455637152996797,-2.2947888869861486
2014-12-12,-3.478074550628662,12.097002983093262,0.8775918483734131,0.9367987235118401,-2.1793197188459428,-1.5408967780919596
