target,freq,exog,regime,mse_mean,mse_median,rmse_mean,rmse_median,mae_mean,mae_median,qlike_mean,qlike_median,var_1_hit_rate_mean,var_1_hit_rate_median,var_5_hit_rate_mean,var_5_hit_rate_median
SPY,daily,no_exog,CALM_17_19,18.310695891082286,2.109168529510498,2.787076461315155,1.4522976875305176,1.2337045848369599,0.8803135752677917,0.5179314613342285,0.5412563681602478,0.03333333333333333,0.016666666666666666,0.056666666666666664,0.03333333333333333
SPY,daily,no_exog,COVID,184.44913709163666,4.29119873046875,8.884292165438334,2.0715208053588867,3.9914740125338235,1.0661369562149048,2.0650142629941306,1.7086344957351685,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.06666666666666667
SPY,daily,no_exog,ENERGY_22,9.163220517337322,7.710419058799744,2.6021599024534225,2.6441328525543213,1.7345960810780525,1.6803471446037292,1.3621613383293152,1.6219133138656616,0.016666666666666666,0.008333333333333333,0.05416666666666667,0.05
SPY,daily,no_exog,GFC,119.3506781578064,10.22067642211914,7.722341012954712,3.196979284286499,4.28203284740448,1.9585211277008057,2.417224717140198,1.908679723739624,0.056666666666666664,0.05,0.09333333333333334,0.06666666666666667
SPY,daily,no_exog,OIL_CRASH,0.9490779876708985,0.6560162901878357,0.9290417313575745,0.8099483251571655,0.6677487254142761,0.5429789423942566,0.48969975113868713,0.31776005029678345,0.016666666666666666,0.016666666666666666,0.06,0.08333333333333333
SPY,daily,with_exog,CALM_17_19,17.315499034523963,0.8017995953559875,2.6874144613742827,0.8954326510429382,1.2002532005310058,0.5784317851066589,0.4182006537914276,0.3530711531639099,0.026666666666666665,0.016666666666666666,0.056666666666666664,0.03333333333333333
SPY,daily,with_exog,COVID,195.50243937969208,8.806535720825195,9.396048188209534,2.967580795288086,4.546167174975078,1.8161487579345703,1.7395912607510884,1.2317522764205933,0.022222222222222223,0.016666666666666666,0.044444444444444446,0.05
SPY,daily,with_exog,ENERGY_22,8.064446717500687,8.159584403038025,2.4996304363012314,2.7306068539619446,1.5979999899864197,1.6570450067520142,1.4392907992005348,1.6854493021965027,0.029166666666666667,0.025,0.07916666666666666,0.06666666666666667
SPY,daily,with_exog,GFC,115.62071132659912,10.546496391296387,7.686030673980713,3.2475368976593018,4.605391502380371,1.9752228260040283,2.2073304891586303,1.853135585784912,0.04,0.03333333333333333,0.1,0.11666666666666667
SPY,daily,with_exog,OIL_CRASH,0.9494699895381927,0.633179247379303,0.9238782405853272,0.7957255840301514,0.643113887310028,0.5186752080917358,0.4474995851516724,0.2982242703437805,0.013333333333333332,0.016666666666666666,0.06999999999999999,0.06666666666666667
