mse,rmse,mae,qlike,var_1_hit_rate,var_1_exceptions,var_5_hit_rate,var_5_exceptions,target,freq,exog,window_id,regime,n_train,n_forecast,lookback,hidden_size,num_layers,dropout,learning_rate,weight_decay,batch_size,epochs,patience
6.175658226013184,2.4850871562957764,1.4068199396133423,1.9850705862045288,0.06666666666666667,4,0.08333333333333333,5,SPY,daily,no_exog,d_GFC_1,GFC,904,60,10,16,1,0.2,0.001,0.0,64,80,10
10.091096878051758,3.1766486167907715,1.9745101928710938,1.6973648071289062,0.016666666666666666,1,0.05,3,SPY,daily,no_exog,d_GFC_2,GFC,977,60,10,16,1,0.2,0.001,0.0,64,80,10
4.142096996307373,2.0352141857147217,1.3690074682235718,1.3799443244934082,0.03333333333333333,2,0.06666666666666667,4,SPY,daily,no_exog,d_GFC_3,GFC,1052,60,10,16,1,0.2,0.001,0.0,64,80,10
508.50616455078125,22.550081253051758,11.521378517150879,4.522041320800781,0.15,9,0.2,12,SPY,daily,no_exog,d_GFC_4,GFC,1175,60,10,16,1,0.2,0.001,0.0,64,80,10
72.16099548339844,8.494762420654297,5.267942428588867,2.8178319931030273,0.016666666666666666,1,0.08333333333333333,5,SPY,daily,no_exog,d_GFC_5,GFC,1264,60,10,16,1,0.2,0.001,0.0,64,80,10
0.8421891927719116,0.9177086353302002,0.6419950127601624,0.43174782395362854,0.03333333333333333,2,0.08333333333333333,5,SPY,daily,no_exog,d_OIL_CRASH_1,OIL_CRASH,2659,60,10,16,1,0.2,0.001,0.0,64,80,10
0.4375285506248474,0.6614593863487244,0.5430800914764404,0.2955074608325958,0.016666666666666666,1,0.08333333333333333,5,SPY,daily,no_exog,d_OIL_CRASH_2,OIL_CRASH,2770,60,10,16,1,0.2,0.001,0.0,64,80,10
0.5763777494430542,0.7591954469680786,0.5150206089019775,0.26360225677490234,0.016666666666666666,1,0.03333333333333333,2,SPY,daily,no_exog,d_OIL_CRASH_3,OIL_CRASH,2833,60,10,16,1,0.2,0.001,0.0,64,80,10
2.4669198989868164,1.5706431865692139,1.1254667043685913,1.1353753805160522,0.0,0,0.08333333333333333,5,SPY,daily,no_exog,d_OIL_CRASH_4,OIL_CRASH,2941,60,10,16,1,0.2,0.001,0.0,64,80,10
0.6641075611114502,0.8149279356002808,0.5502331852912903,0.3285484313964844,0.0,0,0.016666666666666666,1,SPY,daily,no_exog,d_OIL_CRASH_5,OIL_CRASH,3020,60,10,16,1,0.2,0.001,0.0,64,80,10
550.9649658203125,23.47264289855957,10.056702613830566,3.701286792755127,0.05,3,0.08333333333333333,5,SPY,daily,no_exog,d_COVID_1,COVID,4038,60,10,16,1,0.2,0.001,0.0,64,80,10
4.2481160163879395,2.061095714569092,1.0679314136505127,1.698833703994751,0.03333333333333333,2,0.05,3,SPY,daily,no_exog,d_COVID_2,COVID,4102,60,10,16,1,0.2,0.001,0.0,64,80,10
1.365957260131836,1.1687417030334473,0.7744941711425781,0.7736826539039612,0.016666666666666666,1,0.05,3,SPY,daily,no_exog,d_COVID_3,COVID,4179,60,10,16,1,0.2,0.001,0.0,64,80,10
19.580915451049805,4.425032615661621,3.0505449771881104,2.0576963424682617,0.03333333333333333,2,0.1,6,SPY,daily,no_exog,d_ENERGY_22_1,ENERGY_22,4514,60,10,16,1,0.2,0.001,0.0,64,80,10
12.207974433898926,3.4939911365509033,2.065894842147827,1.9639538526535034,0.05,3,0.08333333333333333,5,SPY,daily,no_exog,d_ENERGY_22_2,ENERGY_22,4604,60,10,16,1,0.2,0.001,0.0,64,80,10
3.544827699661255,1.8827712535858154,1.406492829322815,1.3077826499938965,0.0,0,0.016666666666666666,1,SPY,daily,no_exog,d_ENERGY_22_3,ENERGY_22,4692,60,10,16,1,0.2,0.001,0.0,64,80,10
0.2936886250972748,0.5419304370880127,0.44056275486946106,0.17632873356342316,0.0,0,0.016666666666666666,1,SPY,daily,no_exog,d_ENERGY_22_4,ENERGY_22,4809,60,10,16,1,0.2,0.001,0.0,64,80,10
0.29565343260765076,0.5437402129173279,0.4098474681377411,-0.3024264872074127,0.016666666666666666,1,0.03333333333333333,2,SPY,daily,no_exog,d_CALM_17_19_1,CALM_17_19,3282,60,10,16,1,0.2,0.001,0.0,64,80,10
0.08204445987939835,0.2864340543746948,0.2663106620311737,-0.6668363809585571,0.0,0,0.0,0,SPY,daily,no_exog,d_CALM_17_19_2,CALM_17_19,3431,60,10,16,1,0.2,0.001,0.0,64,80,10
6.834496974945068,2.6142871379852295,1.6684976816177368,1.6496680974960327,0.06666666666666667,4,0.13333333333333333,8,SPY,daily,no_exog,d_CALM_17_19_3,CALM_17_19,3668,60,10,16,1,0.2,0.001,0.0,64,80,10
2.082028388977051,1.4429235458374023,0.8695010542869568,0.5393280386924744,0.016666666666666666,1,0.016666666666666666,1,SPY,daily,no_exog,d_CALM_17_19_4,CALM_17_19,3740,60,10,16,1,0.2,0.001,0.0,64,80,10
81.47042083740234,9.02609634399414,2.9529874324798584,1.3951821327209473,0.08333333333333333,5,0.11666666666666667,7,SPY,daily,no_exog,d_CALM_17_19_5,CALM_17_19,3977,60,10,16,1,0.2,0.001,0.0,64,80,10
5.533802509307861,2.3524036407470703,1.4339385032653809,1.4732189178466797,0.05,3,0.13333333333333333,8,SPY,daily,with_exog,d_GFC_1,GFC,904,60,5,16,1,0.2,0.001,0.0,64,80,10
10.435256958007812,3.2303647994995117,1.9782025814056396,1.8256345987319946,0.03333333333333333,2,0.11666666666666667,7,SPY,daily,with_exog,d_GFC_2,GFC,977,60,5,16,1,0.2,0.001,0.0,64,80,10
4.845766544342041,2.201310157775879,1.4710490703582764,1.2747721672058105,0.03333333333333333,2,0.06666666666666667,4,SPY,daily,with_exog,d_GFC_3,GFC,1052,60,5,16,1,0.2,0.001,0.0,64,80,10
486.4598388671875,22.05583381652832,12.063485145568848,3.954486846923828,0.08333333333333333,5,0.16666666666666666,10,SPY,daily,with_exog,d_GFC_4,GFC,1175,60,5,16,1,0.2,0.001,0.0,64,80,10
74.99485778808594,8.659956932067871,6.079968452453613,2.6418750286102295,0.0,0,0.016666666666666666,1,SPY,daily,with_exog,d_GFC_5,GFC,1264,60,5,16,1,0.2,0.001,0.0,64,80,10
0.8239181041717529,0.9076993465423584,0.6250326037406921,0.415001779794693,0.03333333333333333,2,0.08333333333333333,5,SPY,daily,with_exog,d_OIL_CRASH_1,OIL_CRASH,2659,60,5,16,1,0.2,0.001,0.0,64,80,10
0.41625669598579407,0.6451795697212219,0.4977920651435852,0.2789798676967621,0.016666666666666666,1,0.08333333333333333,5,SPY,daily,with_exog,d_OIL_CRASH_2,OIL_CRASH,2770,60,5,16,1,0.2,0.001,0.0,64,80,10
0.5613960027694702,0.7492636442184448,0.4952612519264221,0.2164066880941391,0.016666666666666666,1,0.05,3,SPY,daily,with_exog,d_OIL_CRASH_3,OIL_CRASH,2833,60,5,16,1,0.2,0.001,0.0,64,80,10
2.073214292526245,1.439866065979004,1.0245133638381958,1.0421651601791382,0.0,0,0.11666666666666667,7,SPY,daily,with_exog,d_OIL_CRASH_4,OIL_CRASH,2941,60,5,16,1,0.2,0.001,0.0,64,80,10
