date,ret,ret_lag1
2004-01-16,0.016238888217095848,0.01037496946973615
2004-01-23,0.0017491234842683667,0.016238888217095848
2004-01-30,-0.008336302793789052,0.0017491234842683667
2004-02-06,0.008511358307573325,-0.008336302793789052
2004-02-13,0.005923943672498488,0.008511358307573325
2004-02-20,-0.0021740963990319884,0.005923943672498488
2004-02-27,0.0012177524980137022,-0.0021740963990319884
2004-03-05,0.011754707992078117,0.0012177524980137022
2004-03-12,-0.033196151730911616,0.011754707992078117
2004-03-19,-0.013593743636945987,-0.033196151730911616
2004-03-26,0.003229155088157576,-0.013593743636945987
2004-04-02,0.03199637516966547,0.003229155088157576
2004-04-09,-0.002357709027157817,0.03199637516966547
2004-04-16,-0.004732763960499042,-0.002357709027157817
2004-04-23,0.004645334560559711,-0.004732763960499042
2004-04-30,-0.030181514618144334,0.004645334560559711
2004-05-07,-0.009053224003950255,-0.030181514618144334
2004-05-14,0.0007271901430092598,-0.009053224003950255
2004-05-21,-0.0020925158102196306,0.0007271901430092598
2004-05-28,0.02739649347747175,-0.0020925158102196306
2004-06-04,0.0010627817072395018,0.02739649347747175
2004-06-11,0.012053051575961149,0.0010627817072395018
2004-06-18,-0.0063161500861577125,0.012053051575961149
2004-06-25,0.005489777750850244,-0.0063161500861577125
2004-07-02,-0.00846849889016088,0.005489777750850244
2004-07-09,-0.010239764110452576,-0.00846849889016088
2004-07-16,-0.009171363937950261,-0.010239764110452576
2004-07-23,-0.015933214695190934,-0.009171363937950261
2004-07-30,0.01710699956253592,-0.015933214695190934
2004-08-06,-0.036662244778073116,0.01710699956253592
2004-08-13,0.0031774344834918367,-0.036662244778073116
2004-08-20,0.030231734602269356,0.0031774344834918367
2004-08-27,0.008741162833476146,0.030231734602269356
2004-09-03,0.0059938526038285644,0.008741162833476146
2004-09-10,0.008348933808992598,0.0059938526038285644
2004-09-17,0.0007957635171145228,0.008348933808992598
2004-09-24,-0.010894740367582756,0.0007957635171145228
2004-10-01,0.01945811622151883,-0.010894740367582756
2004-10-08,-0.010081595535226029,0.01945811622151883
2004-10-15,-0.011172326829401058,-0.010081595535226029
2004-10-22,-0.0114802878518665,-0.011172326829401058
2004-10-29,0.028766528350595344,-0.0114802878518665
2004-11-05,0.03540787466484385,0.028766528350595344
2004-11-12,0.012793181884000582,0.03540787466484385
2004-11-19,-0.011599982830966304,0.012793181884000582
2004-11-26,0.01084803088600328,-0.011599982830966304
2004-12-03,0.0075759144778686505,0.01084803088600328
2004-12-10,0.0006705080947977393,0.0075759144778686505
2004-12-17,0.0009216776399183502,0.0006705080947977393
2004-12-24,0.015786298584510305,0.0009216776399183502
2004-12-31,0.0008274811569144447,0.015786298584510305
2005-01-07,-0.020309216511247286,0.0008274811569144447
2005-01-14,-0.001689835754669744,-0.020309216511247286
2005-01-21,-0.012424757836013711,-0.001689835754669744
2005-01-28,0.005550668218105237,-0.012424757836013711
2005-02-04,0.023564266172966697,0.005550668218105237
2005-02-11,0.004481394553944362,0.023564266172966697
2005-02-18,-0.003151343672242568,0.004481394553944362
2005-02-25,0.008601501113773224,-0.003151343672242568
2005-03-04,0.01064863684848838,0.008601501113773224
2005-03-11,-0.019250137962261604,0.01064863684848838
2005-03-18,-0.015486353153422172,-0.019250137962261604
2005-03-25,-0.007960196368270722,-0.015486353153422172
2005-04-01,0.0024725523744990596,-0.007960196368270722
2005-04-08,0.004841925269528424,0.0024725523744990596
2005-04-15,-0.03317072428687151,0.004841925269528424
2005-04-22,0.012362500193947135,-0.03317072428687151
2005-04-29,0.0015569190993778292,0.012362500193947135
2005-05-06,0.011510085281761562,0.0015569190993778292
2005-05-13,-0.011769630031635003,0.011510085281761562
2005-05-20,0.02895811995509323,-0.011769630031635003
2005-05-27,0.009441345427870118,0.02895811995509323
2005-06-03,-0.0008319529457327945,0.009441345427870118
2005-06-10,0.00041634336159379615,-0.0008319529457327945
2005-06-17,0.009604084626027465,0.00041634336159379615
2005-06-24,-0.015777983621674707,0.009604084626027465
2005-07-01,0.004611482781588627,-0.015777983621674707
2005-07-08,0.014864603277218613,0.004611482781588627
2005-07-15,0.012450967196854457,0.014864603277218613
2005-07-22,0.00568256366123876,0.012450967196854457
2005-07-29,0.0016173532012100367,0.00568256366123876
2005-08-05,-0.0069742651486288665,0.0016173532012100367
2005-08-12,0.001463758106600821,-0.0069742651486288665
2005-08-19,-0.004805812668153386,0.001463758106600821
2005-08-26,-0.014061139887091123,-0.004805812668153386
2005-09-02,0.012426635459678259,-0.014061139887091123
2005-09-09,0.018876785600137502,0.012426635459678259
2005-09-16,-0.008867316866396635,0.018876785600137502
2005-09-23,-0.0125729796213907,-0.008867316866396635
2005-09-30,0.013088960433136343,-0.0125729796213907
2005-10-07,-0.028272996201699208,0.013088960433136343
2005-10-14,-0.007889867813356766,-0.028272996201699208
2005-10-21,-0.004560827426876024,-0.007889867813356766
2005-10-28,0.014037909852309127,-0.004560827426876024
2005-11-04,0.019098822174897556,0.014037909852309127
2005-11-11,0.013421971716097936,0.019098822174897556
2005-11-18,0.01100899277759293,0.013421971716097936
2005-11-25,0.015856706511349294,0.01100899277759293
2005-12-02,-0.002205114731057556,0.015856706511349294
2005-12-09,-0.004107339640264662,-0.002205114731057556
2005-12-16,0.00023737694008652,-0.004107339640264662
2005-12-23,0.008447585404170788,0.00023737694008652
2005-12-30,-0.017909452430104444,0.008447585404170788
2006-01-06,0.031075644784418266,-0.017909452430104444
2006-01-13,0.0018669731012082025,0.031075644784418266
2006-01-20,-0.02128486609047009,0.0018669731012082025
2006-01-27,0.02019586285500008,-0.02128486609047009
2006-02-03,-0.017817479660173774,0.02019586285500008
2006-02-10,0.0029260397123209714,-0.017817479660173774
2006-02-17,0.016990058891655835,0.0029260397123209714
2006-02-24,0.0046473850233228475,0.016990058891655835
2006-03-03,-0.005035650963861826,0.0046473850233228475
2006-03-10,-0.0013211640048576,-0.005035650963861826
2006-03-17,0.015663310232588046,-0.0013211640048576
2006-03-24,0.0008252662006853484,0.015663310232588046
2006-03-31,-0.0029227460708831643,0.0008252662006853484
2006-04-07,-0.002236513593112832,-0.0029227460708831643
2006-04-14,-0.006427663294853225,-0.002236513593112832
2006-04-21,0.018780170682116903,-0.006427663294853225
2006-04-28,0.0024367301683847487,0.018780170682116903
2006-05-05,0.007954853154634733,0.0024367301683847487
2006-05-12,-0.02506239747021155,0.007954853154634733
2006-05-19,-0.01669717082077682,-0.02506239747021155
2006-05-26,0.010020440827119614,-0.01669717082077682
2006-06-02,0.004817779280029022,0.010020440827119614
2006-06-09,-0.028702132290946203,0.004817779280029022
2006-06-16,-0.005600312794513229,-0.028702132290946203
2006-06-23,0.0027243772053173743,-0.005600312794513229
2006-06-30,0.022565325469516395,0.0027243772053173743
2006-07-07,-0.005277708098729406,0.022565325469516395
2006-07-14,-0.024708857294836406,-0.005277708098729406
2006-07-21,0.0034755736122065173,-0.024708857294836406
2006-07-28,0.03199587542714877,0.0034755736122065173
2006-08-04,0.001717652705647943,0.03199587542714877
2006-08-11,-0.009325714450492129,0.001717652705647943
2006-08-18,0.028561981365985645,-0.009325714450492129
2006-08-25,-0.006756021947862401,0.028561981365985645
2006-09-01,0.012326322800888079,-0.006756021947862401
2006-09-08,-0.00871246052726704,0.012326322800888079
2006-09-15,0.012813101321855314,-0.00871246052726704
2006-09-22,0.0006681039961486945,0.012813101321855314
2006-09-29,0.015921853100095085,0.0006681039961486945
2006-10-06,0.010648468369520714,0.015921853100095085
2006-10-13,0.011927461891185764,0.010648468369520714
2006-10-20,0.0015358326763461605,0.011927461891185764
2006-10-27,0.007789338589421213,0.0015358326763461605
2006-11-03,-0.009984222511408625,0.007789338589421213
2006-11-10,0.012373900775936697,-0.009984222511408625
2006-11-17,0.015646416175081335,0.012373900775936697
2006-11-24,-0.0004986596773699503,0.015646416175081335
2006-12-01,-0.0009265864262104628,-0.0004986596773699503
2006-12-08,0.008521706616220648,-0.0009265864262104628
2006-12-15,0.0064842366647379635,0.008521706616220648
2006-12-22,-0.005677134368586856,0.0064842366647379635
2006-12-29,0.006162370265459849,-0.005677134368586856
2007-01-05,-0.007655046535290921,0.006162370265459849
2007-01-12,0.019029192664572037,-0.007655046535290921
2007-01-19,-0.0029369439030961786,0.019029192664572037
2007-01-26,-0.00484247136286875,-0.0029369439030961786
2007-02-02,0.018680511958460322,-0.00484247136286875
2007-02-09,-0.006026058473921125,0.018680511958460322
2007-02-16,0.012359241338216087,-0.006026058473921125
2007-02-23,-0.002955207508172464,0.012359241338216087
2007-03-02,-0.04670357861531649,-0.002955207508172464
2007-03-09,0.015101334950450074,-0.04670357861531649
2007-03-16,-0.016111632272520104,0.015101334950450074
2007-03-23,0.03843970378518513,-0.016111632272520104
2007-03-30,-0.009740855972112605,0.03843970378518513
2007-04-06,0.01565102863892598,-0.009740855972112605
2007-04-13,0.007460411176870352,0.01565102863892598
2007-04-20,0.022454006800644244,0.007460411176870352
2007-04-27,0.006104331865715906,0.022454006800644244
2007-05-04,0.009252951131720089,0.006104331865715906
2007-05-11,-0.0003972034630326249,0.009252951131720089
2007-05-18,0.01159842607004613,-0.0003972034630326249
2007-05-25,-0.006112326981225991,0.01159842607004613
2007-06-01,0.015633425861387273,-0.006112326981225991
2007-06-08,-0.019928028780978657,0.015633425861387273
2007-06-15,0.013351399791603491,-0.019928028780978657
2007-06-22,-0.01229958336072734,0.013351399791603491
2007-06-29,-0.0007973311808040506,-0.01229958336072734
2007-07-06,0.01680878860284185,-0.0007973311808040506
2007-07-13,0.012149997521392564,0.01680878860284185
2007-07-20,-0.008756285410703057,0.012149997521392564
2007-07-27,-0.05620858688910868,-0.008756285410703057
2007-08-03,-0.009068470170710441,-0.05620858688910868
2007-08-10,0.006308305939327852,-0.009068470170710441
2007-08-17,0.0,0.006308305939327852
2007-08-24,0.02470814004215338,0.0
2007-08-31,-0.0050016771752980915,0.02470814004215338
2007-09-07,-0.010352350270983024,-0.0050016771752980915
2007-09-14,0.019189336685719205,-0.010352350270983024
2007-09-21,0.020408124190780974,0.019189336685719205
2007-09-28,0.00873860808721183,0.020408124190780974
2007-10-05,0.021205054366623344,0.00873860808721183
2007-10-12,0.0030751797436172623,0.021205054366623344
2007-10-19,-0.043536652051838765,0.0030751797436172623
2007-10-26,0.026049557927380285,-0.043536652051838765
2007-11-02,-0.015878907783795526,0.026049557927380285
2007-11-09,-0.04090470657297196,-0.015878907783795526
2007-11-16,0.004468916291616054,-0.04090470657297196
2007-11-23,-0.011451264003131456,0.004468916291616054
2007-11-30,0.030945599413063185,-0.011451264003131456
2007-12-07,0.015021307433070952,0.030945599413063185
2007-12-14,-0.025095328061840227,0.015021307433070952
2007-12-21,0.006502674727173918,-0.025095328061840227
2007-12-28,-0.00032590118419317804,0.006502674727173918
2008-01-04,-0.04151525634841935,-0.00032590118419317804
2008-01-11,-0.008242823536575017,-0.04151525634841935
2008-01-18,-0.05945706859728528,-0.008242823536575017
2008-01-25,0.007393830671121648,-0.05945706859728528
2008-02-01,0.047988005820878143,0.007393830671121648
2008-02-08,-0.0477626946017784,0.047988005820878143
2008-02-15,0.015435735045659982,-0.0477626946017784
2008-02-22,0.003545992046523949,0.015435735045659982
2008-02-29,-0.013361390494892156,0.003545992046523949
2008-03-07,-0.031194503537703255,-0.013361390494892156
2008-03-14,-0.0007713343514348381,-0.031194503537703255
2008-03-21,0.018878118611500128,-0.0007713343514348381
2008-03-28,0.0006138396817831904,0.018878118611500128
2008-04-04,0.04009443143213609,0.0006138396817831904
2008-04-11,-0.025975582459189184,0.04009443143213609
2008-04-18,0.037523578011654735,-0.025975582459189184
2008-04-25,0.008055475280198898,0.037523578011654735
2008-05-02,0.013589185028930473,0.008055475280198898
2008-05-09,-0.018616352854575524,0.013589185028930473
2008-05-16,0.026710416847364193,-0.018616352854575524
2008-05-23,-0.03582283631130867,0.026710416847364193
