mse,rmse,mae,qlike,var_1_hit_rate,var_1_exceptions,var_5_hit_rate,var_5_exceptions,target,freq,exog,window_id,regime,n_train,n_forecast,max_depth,learning_rate,n_estimators
7.197054386138916,2.682732582092285,1.408912181854248,9.064391136169434,0.15,9,0.3,18,SPY,daily,no_exog,d_GFC_1,GFC,904,60,2,0.05,100
13.730910301208496,3.705524206161499,1.973794937133789,10.509886741638184,0.2,12,0.31666666666666665,19,SPY,daily,no_exog,d_GFC_2,GFC,977,60,2,0.05,100
4.868961811065674,2.2065722942352295,1.1723660230636597,6.104928493499756,0.15,9,0.25,15,SPY,daily,no_exog,d_GFC_3,GFC,1052,60,2,0.05,100
550.8968505859375,23.47119140625,11.81230354309082,10.573573112487793,0.21666666666666667,13,0.26666666666666666,16,SPY,daily,no_exog,d_GFC_4,GFC,1175,60,2,0.05,100
88.83173370361328,9.425058364868164,4.760308742523193,6.109279155731201,0.13333333333333333,8,0.16666666666666666,10,SPY,daily,no_exog,d_GFC_5,GFC,1264,60,2,0.05,100
1.1052181720733643,1.0512936115264893,0.5698320865631104,2.7747838497161865,0.15,9,0.18333333333333332,11,SPY,daily,no_exog,d_OIL_CRASH_1,OIL_CRASH,2659,60,2,0.05,100
0.5322391390800476,0.7295472025871277,0.41775837540626526,2.0683796405792236,0.11666666666666667,7,0.16666666666666666,10,SPY,daily,no_exog,d_OIL_CRASH_2,OIL_CRASH,2770,60,2,0.05,100
0.7160888314247131,0.8462203145027161,0.4426446259021759,2.8569467067718506,0.15,9,0.21666666666666667,13,SPY,daily,no_exog,d_OIL_CRASH_3,OIL_CRASH,2833,60,2,0.05,100
3.089318037033081,1.757645606994629,1.0906684398651123,4.364144802093506,0.23333333333333334,14,0.3,18,SPY,daily,no_exog,d_OIL_CRASH_4,OIL_CRASH,2941,60,2,0.05,100
0.8333588242530823,0.9128848910331726,0.49704423546791077,2.049583911895752,0.13333333333333333,8,0.16666666666666666,10,SPY,daily,no_exog,d_OIL_CRASH_5,OIL_CRASH,3020,60,2,0.05,100
673.6578369140625,25.954919815063477,10.301586151123047,6.989115238189697,0.11666666666666667,7,0.18333333333333332,11,SPY,daily,no_exog,d_COVID_1,COVID,4038,60,2,0.05,100
4.8621392250061035,2.2050259113311768,1.06230890750885,6.560352802276611,0.11666666666666667,7,0.18333333333333332,11,SPY,daily,no_exog,d_COVID_2,COVID,4102,60,2,0.05,100
2.003596305847168,1.4154844284057617,0.7477399110794067,3.843424081802368,0.06666666666666667,4,0.13333333333333333,8,SPY,daily,no_exog,d_COVID_3,COVID,4179,60,2,0.05,100
20.47882080078125,4.525352954864502,2.661510705947876,6.947083473205566,0.21666666666666667,13,0.25,15,SPY,daily,no_exog,d_ENERGY_22_1,ENERGY_22,4514,60,2,0.05,100
15.03576946258545,3.877598524093628,2.0321314334869385,6.563943862915039,0.15,9,0.21666666666666667,13,SPY,daily,no_exog,d_ENERGY_22_2,ENERGY_22,4604,60,2,0.05,100
3.58351469039917,1.893017292022705,1.1135671138763428,2.98785662651062,0.11666666666666667,7,0.18333333333333332,11,SPY,daily,no_exog,d_ENERGY_22_3,ENERGY_22,4692,60,2,0.05,100
0.3804619610309601,0.616815984249115,0.37994325160980225,2.0559422969818115,0.1,6,0.11666666666666667,7,SPY,daily,no_exog,d_ENERGY_22_4,ENERGY_22,4809,60,2,0.05,100
0.2698184549808502,0.5194405317306519,0.21488839387893677,1.2196604013442993,0.05,3,0.06666666666666667,4,SPY,daily,no_exog,d_CALM_17_19_1,CALM_17_19,3282,60,2,0.05,100
0.05920097976922989,0.2433125078678131,0.13818004727363586,-0.10395676642656326,0.016666666666666666,1,0.11666666666666667,7,SPY,daily,no_exog,d_CALM_17_19_2,CALM_17_19,3431,60,2,0.05,100
7.967619895935059,2.822697162628174,1.4901145696640015,6.2388482093811035,0.18333333333333332,11,0.21666666666666667,13,SPY,daily,no_exog,d_CALM_17_19_3,CALM_17_19,3668,60,2,0.05,100
2.475097417831421,1.5732442140579224,0.6322027444839478,2.9405910968780518,0.06666666666666667,4,0.1,6,SPY,daily,no_exog,d_CALM_17_19_4,CALM_17_19,3740,60,2,0.05,100
100.38468933105469,10.01921558380127,3.343573808670044,6.872843265533447,0.2,12,0.2,12,SPY,daily,no_exog,d_CALM_17_19_5,CALM_17_19,3977,60,2,0.05,100
7.069068908691406,2.6587719917297363,1.383140206336975,4.732539653778076,0.11666666666666667,7,0.18333333333333332,11,SPY,daily,with_exog,d_GFC_1,GFC,904,60,2,0.1,50
13.716360092163086,3.7035603523254395,1.910452127456665,11.186213493347168,0.15,9,0.26666666666666666,16,SPY,daily,with_exog,d_GFC_2,GFC,977,60,2,0.1,50
4.567116737365723,2.1370813846588135,1.1257656812667847,3.094956874847412,0.11666666666666667,7,0.21666666666666667,13,SPY,daily,with_exog,d_GFC_3,GFC,1052,60,2,0.1,50
