target,freq,exog,regime,mse,rmse,mae,qlike,var_1_hit_rate
OIL,weekly,no_exog,CALM_17_19,801.5584208170573,26.803043365478516,18.89895025889079,3.8888856569925943,0.038461538461538464
OIL,weekly,no_exog,GFC,31012.735758463543,123.7114855448405,78.85275586446126,45349430.28458055,0.15384615384615385
OIL,weekly,no_exog,OIL_CRASH,3122.4828898111978,51.7135264078776,33.71792221069336,4.402825673421224,0.038461538461538464
OIL,weekly,with_exog,CALM_17_19,715.8548482259115,25.69643783569336,18.33358923594157,3.858199119567871,0.025641025641025644
OIL,weekly,with_exog,GFC,29048.63008626302,116.43315696716309,70.86649131774902,5.973192930221558,0.08974358974358976
OIL,weekly,with_exog,OIL_CRASH,1962.3794555664062,42.5347957611084,27.172077814737957,4.372059424718221,0.06410256410256411
SPY,daily,no_exog,CALM_17_19,17.362742173671723,2.81881143450737,1.3721566379070282,0.6331133335828781,0.026666666666666665
SPY,daily,no_exog,COVID,168.83062974611917,8.551322301228842,4.027073860168457,1.6955481171607971,0.022222222222222223
SPY,daily,no_exog,ENERGY_22,7.91438839584589,2.465828761458397,1.6646123975515366,1.39682637155056,0.025
SPY,daily,no_exog,GFC,307.00719051361085,10.954430866241456,7.1940666198730465,2.4088268518447875,0.04
SPY,daily,no_exog,OIL_CRASH,0.9736363291740417,0.9485064029693604,0.72574702501297,0.5381822645664215,0.003333333333333333
SPY,daily,with_exog,CALM_17_19,16.497040900588036,2.7167228758335114,1.24113832116127,0.553676837682724,0.03333333333333333
SPY,daily,with_exog,COVID,188.52300715446472,8.95241622130076,4.6811001896858215,1.6574391722679138,0.022222222222222223
SPY,daily,with_exog,ENERGY_22,7.7271056324243546,2.417459487915039,1.552450217306614,1.3638342879712582,0.029166666666666667
SPY,daily,with_exog,GFC,331.91401610374453,11.181771230697631,8.120163679122925,2.228989100456238,0.03
SPY,daily,with_exog,OIL_CRASH,0.9515065371990203,0.9276172876358032,0.6721694350242615,162129.30284247996,0.013333333333333332
SPY,weekly,no_exog,CALM_17_19,56.60035673777262,6.121175607045491,3.9166614611943564,15429507.704125643,0.025641025641025644
SPY,weekly,no_exog,GFC,3981.6224060058594,42.817681312561035,22.81652037302653,12.299071629842123,0.17948717948717952
SPY,weekly,no_exog,OIL_CRASH,31.087714513142902,5.388336022694905,3.9235317707061768,2.2672383785247803,0.012820512820512822
SPY,weekly,with_exog,CALM_17_19,59.51952282587687,6.079910596211751,3.5036203463872275,1.9567817250887554,0.038461538461538464
SPY,weekly,with_exog,GFC,3960.5807571411133,42.67133585611979,21.84800656636556,12.014533122380575,0.14102564102564105
SPY,weekly,with_exog,OIL_CRASH,31.00266758600871,4.926393588383992,3.6663894255956015,10316567.818368832,0.05128205128205129
