Series,N,Mean,Median,Std,Min,Max,Skew,ExKurt
SPY,6538,196.437782,116.152962,152.916586,49.944584,690.380005,1.334852,0.850210
OIL,6366,64.664978,63.674999,24.587920,-37.630001,145.289993,0.194032,-0.535416
