Series,N,Mean,Median,Std,Min,Max,Skew,ExKurt
SPY,6537,0.030820,0.069243,1.222120,-11.588654,13.557742,-0.209263,11.526104
OIL,6363,0.018764,0.103489,2.580414,-28.220613,31.963363,-0.031712,16.342923
