date,ret,realized_variance,pred_variance,pred_volatility,std_resid,var_1,var_5
0,0.0143752957983434,2.066491292898694,1.0888629093812396,1.0434859411516955,1.3776223743347595,-2.4275113007897526,-1.7163816349762375
1,-0.0127099937943517,1.6154394225245872,1.0166933069500739,1.0083121079061155,-1.2605217863291922,-2.3456847285970306,-1.658525827788459
2,0.0045652857070983,0.20841833587436023,1.3371125348886996,1.1563358227127185,0.39480621610323535,-2.6900393828449993,-1.9020031719629305
3,0.0120390760527344,1.4493935220352288,1.1576355029045213,1.0759347112648245,1.118941133387337,-2.5029984281576705,-1.7697551121869324
4,-0.0023041705273465,0.05309201819092249,1.045202683955868,1.0223515461698427,-0.2253794730373215,-2.37834534595458,-1.681618648736912
5,-0.0078732367754055,0.6198785732159762,0.9080552560353008,0.9529193334355751,-0.8262227975814066,-2.216821865470265,-1.5674128217936856
6,0.0232348765636958,5.398594889301804,0.9578332983459866,0.9786895822200146,2.374080299392875,-2.2767724289434494,-1.6098011089742126
7,0.0044823229793591,0.2009121929129064,0.969713476498932,0.9847403091673114,0.4551781761781761,-2.290848524713695,-1.6197536691391667
8,0.0039122493914325,0.15305695300763963,0.8564203939600848,0.9254298428082406,0.42274943063870496,-2.1528717473909,-1.5221966334322659
9,0.0032482562488871,0.10551168658434092,0.7515428840018343,0.8669157306231294,0.3746911186572066,-2.0167475669076795,-1.4259494837767406
10,0.0007977958893192,0.006364782810146132,0.6541750959924578,0.808810914857396,0.09863812105699166,-1.8815755522795305,-1.3303755668211268
11,-0.0109779498761186,1.2051538348257238,0.5594866775458451,0.7479884207297899,-1.4676630776460073,-1.7400812723719126,-1.230331466755099
12,0.0049275256938177,0.24280509463233604,0.8505976925752645,0.9222785330773261,0.534277392034296,-2.1455407046979427,-1.5170131901917239
13,0.0008019957551468,0.00643197191273486,0.75515970596133,0.8689992554434842,0.09228957909031928,-2.021594570444023,-1.4293765771343445
14,0.0160083459507864,2.5626714008005935,0.6643386880089774,0.8150697442605617,1.9640461523092494,-1.8961357667555694,-1.3406704250653942
15,-0.0012831110883357,0.016463740650100245,0.6573943576206996,0.8107985925127766,-0.158252752309197,-1.8861995819674038,-1.33364500562179
16,-0.0016310759699198,0.02660408819649816,0.587578827173637,0.766536905291348,-0.21278505426948163,-1.7832314999983727,-1.2608410088606314
17,0.005770545019232399,0.3329918981898785,0.5274751454959226,0.7262748415688943,0.7945401229604628,-1.6895679336531457,-1.194615807318202
18,0.0063243719281658,0.3999768028577159,0.4856834856886604,0.696909955222811,0.907487671939457,-1.6212549927304838,-1.146314867506829
19,0.0039216972672253,0.1537970945576239,0.4550505292809754,0.674574331916784,0.5813588038670117,-1.5692945629371309,-1.1095760365016887
20,0.0014179354272956,0.020105408759799562,0.4160225073252616,0.6449980676911068,0.21983560855792478,-1.5004898835336566,-1.0609274110184086
21,-0.0005374495502392,0.002888520190523183,0.3746228613825054,0.612064425842987,-0.08780931018805395,-1.4238747758358608,-1.006756390775808
22,-0.0066214699618516,0.4384386445570302,0.3400970270047822,0.5831783835198131,-1.1354107334855699,-1.3566757926878914,-0.9592430792922616
23,-0.0004430707634028,0.0019631170138234,0.442110974311295,0.6649142608722534,-0.06663577388482647,-1.5468218771996036,-1.0936866336074837
24,0.000590481752134,0.003486686996032385,0.4020301910350341,0.6340585075803605,0.09312732895696732,-1.47504066112708,-1.042933435892994
25,0.009207544910101,0.8477888327152683,0.3673930620978049,0.6061295753366642,1.5190720408234208,-1.4100682489777265,-0.9969944303950682
26,0.0043782680232853,0.19169230883722568,0.35525379962404896,0.596031710250427,0.7345696458743343,-1.3865771020020072,-0.9803849203835042
27,-0.0024296934539078,0.05903410279962414,0.3338695310456205,0.5778144434380474,-0.4204971823568319,-1.3441974020821934,-0.950420182994019
28,0.0067884417894923,0.4608294192932542,0.3279157595189633,0.5726392926781774,1.1854655934879055,-1.3321582011141286,-0.941907817496626
29,-0.0032428962164381,0.10516375870588543,0.3160162376030348,0.5621532154164333,-0.5768705270209686,-1.3077639375692423,-0.9246597552801529
30,-0.0100382573555863,1.0076661073698245,0.32669012990126645,0.571568132335303,-1.7562661015708074,-1.3296663095277261,-0.9401459155216025
31,0.0108621272935902,1.1798580934215717,0.5737460022840284,0.7574602314867945,1.4340194827481936,-1.7621159991897877,-1.2459112090325561
32,-0.012037764200711,1.4490776695191931,0.514149639592878,0.7170422857773996,-1.6788081316096932,-1.6680897971156385,-1.1794296044385302
33,0.0026929961218379998,0.07252228112234509,0.8278382771186472,0.9098561848548633,0.2959804160992296,-2.1166420013200216,-1.4965802456627517
34,-0.002350230659819,0.05523584154353251,0.7235238597972411,0.8506020572495937,-0.27630201923310976,-1.978796287537358,-1.3991158789593785
35,0.0092698449217998,0.8593002487421755,0.6526724989432158,0.8078814881795571,1.1474263313902688,-1.8794133825034631,-1.328846795979098
