date,ret,realized_variance,pred_variance,pred_volatility,std_resid,var_1,var_5
0,0.0329470171773875,10.855059408870671,2.60679139104232,1.614556097211342,2.0406238739114437,-3.7560191442672823,-2.655708452414691
1,0.0078539937551678,0.616852179062148,2.4455520896344534,1.5638261059447924,0.5022293543579627,-3.6380035369342343,-2.57226504228469
2,0.0093513344857489,0.8744745666435665,2.1941411152462775,1.4812633510778148,0.6313080303340097,-3.445933847674486,-2.4364613954906367
3,0.0046626319259628,0.2174013647700757,1.9765275816526373,1.4058903163663363,0.3316497646853303,-3.2705899486134316,-2.312483785971122
4,0.0035211915964081,0.12398790258615022,1.7304683457878818,1.3154726701029869,0.2676750096322738,-3.060247049452912,-2.163759992574436
5,0.0003863479151728,0.0014926471155836906,1.4838913318414688,1.218150783705149,0.03171593536209674,-2.8338424859336575,-2.0036797347511937
6,-0.006119637000220499,0.3744995701446775,1.1896098630947818,1.090692377847568,-0.5610781852438839,-2.5373298944382388,-1.7940293135908982
7,0.011395667565087,1.2986123925397588,1.1335071225523166,1.0646629149887379,1.0703545135887018,-2.4767763088541748,-1.7512146571999532
8,0.0024167479758476,0.058406707787634723,1.0945776067399453,1.0462206300489134,0.23099792782088527,-2.4338731384919585,-1.7208797979274104
9,0.0075582274704926004,0.5712680249570896,0.877241329941636,0.9366116217203564,0.8069756231093678,-2.178884454991095,-1.540589023031629
10,0.013222353029759,1.74830619643577,0.8045772607297652,0.896982307924613,1.4740929573462975,-2.08669288509267,-1.4754046025011025
11,-0.0136025934490424,1.850305485399312,0.9362364785778475,0.9675931369009639,-1.4058174795047833,-2.2509582369660657,-1.5915490806449035
12,0.0020899874743962,0.043680476431330065,1.2793942482591076,1.1311031112410166,0.18477426625616125,-2.6313393181565194,-1.8604990549808813
13,0.0005312883635024,0.0028226732519305835,1.1554905115339258,1.0749374454050458,0.04942504940854544,-2.5006784408449207,-1.7681147558204404
14,0.0084258981646385,0.7099575988085844,1.0346944584018842,1.0171993208815489,0.828342881445915,-2.366359477608578,-1.6731439922845908
15,-0.0076293009893024,0.5820623358537058,0.9534701361288562,0.9764579541018938,-0.7813240659521812,-2.2715808856152098,-1.6061304073701148
16,-0.0013278855388384999,0.017632800042564133,0.9652208408865242,0.982456533840823,-0.13515972392664072,-2.285535668838132,-1.6159971930102501
17,0.0157068886362434,2.467063506313521,0.8806601973962117,0.93843497238552,1.6737322348842334,-2.1831262029346297,-1.5435881679864278
18,0.0087439657251815,0.7645693660314883,0.8454080425025436,0.91946073461706,0.9509884866179973,-2.138985525240427,-1.512378324174337
19,0.000481605899985,0.0023194424290036183,0.7903967630894834,0.8890426103902351,0.054171295543821524,-2.068222386613043,-1.4623449622147835
20,0.0070108023861585,0.49151350097765717,0.7154828910888483,0.8458622175560558,0.8288350325440431,-1.9677697715430016,-1.3913195364482942
21,0.0041827727041274,0.17495587494393242,0.6713684201696045,0.8193707464692674,0.5104859701363875,-1.9061413941000371,-1.3477449441479104
