date,ret,realized_variance,pred_variance,pred_volatility,std_resid,var_1,var_5
0,-0.029922377353984498,8.953486665142444,1.6088376414724266,1.268399637918754,-2.3590654285491954,-2.950738801106466,-2.0863317448545975
1,-0.0076107250227011,0.5792313537116867,3.07532371952453,1.7536600923567058,-0.4339908888770578,-4.079623427644287,-2.8845141633529825
2,0.0264578564622928,7.000181685792889,2.707042827053348,1.64530934083939,1.6080779343776626,-3.827561887201252,-2.7062930367368074
3,-0.0045257865678403,0.20482744057643684,2.4751284421344284,1.5732540933156438,-0.2876704142750504,-3.6599363153108984,-2.5877727015064877
4,-0.0127965764976929,1.6375237006130627,2.2077725068842993,1.485857498848493,-0.8612250170430183,-3.4566214335738326,-2.4440180961139877
5,-0.0073352040023975,0.5380521775678831,2.271879970281841,1.5072756782625536,-0.4866531125117628,-3.506447569719558,-2.4792478662059025
6,0.0217521714752155,4.731569638871789,2.119683576521843,1.4559133135327265,1.4940567733689145,-3.386960841724614,-2.394764294291242
7,0.0219319488410603,4.810103799668863,1.8938272427491054,1.376163959253804,1.5937017310751578,-3.201436100941713,-2.2635882796585185
8,0.0124333265841896,1.545876099491158,1.7250687505481865,1.313418726281983,0.9466384432773984,-3.05546886161152,-2.1603815556309036
9,0.010893194423353202,1.1866168474497327,1.5890078919666184,1.26055856348153,0.8641561557653732,-2.9324977342592335,-2.073434325127333
10,-0.00029249491,0.0008555327237590811,1.4741268852021163,1.2141362712653454,-0.024090780987472554,-2.8245033334540097,-1.9970764494041406
11,0.011633646158188,1.3534172293392241,1.2924414874012202,1.1368559659874333,1.0233175095389875,-2.644722459565512,-1.8699616589758499
12,-0.0129620875549241,1.6801571378151823,1.2494813581173534,1.1178020209846435,-1.1596049489610087,-2.600396355116181,-1.8386207084302773
13,0.014961928346012,2.2385929983119737,1.5238103510866143,1.2344271347822091,1.212054395470798,-2.8717069406589184,-2.0304519498538314
14,0.0048716495362972,0.23732969204504725,1.4380633114323664,1.1991927749250186,0.406244070024672,-2.7897395625119534,-1.972496585249418
15,0.0070879173153484,0.5023857186921566,1.313456071050813,1.1460611113945072,0.6184589325017709,-2.666136830013495,-1.8851027757852912
16,0.012294737655442301,1.5116057401615084,1.2049475487000372,1.0977010288325493,1.1200442864227125,-2.5536344547570446,-1.805557518583582
17,-0.0061938932991933,0.38364314201791666,1.195363190277215,1.0933266621999187,-0.5665180877168369,-2.5434581562409493,-1.798362325762284
18,-0.0155109328279516,2.405890371932266,1.1562423353873335,1.0752870944019246,-1.442492233813965,-2.5014918460454703,-1.7686898772411164
19,0.0028299932657187,0.08008861884013192,1.4818430740960546,1.2173097691615125,0.23247930291958552,-2.831885993538031,-2.002296388928774
20,0.0085301429850561,0.727633393455018,1.3804424398072361,1.1749223122433399,0.7260176180303409,-2.733278023250443,-1.9325752266796685
21,-0.012711784347280798,1.6158946129177312,1.2863308342740845,1.1341652588022983,-1.1208053013989074,-2.6384629386257066,-1.8655358395033164
22,-0.0100496056503986,1.0099457372852345,1.4322035362121632,1.1967470644259643,-0.8397434971122345,-2.7840499890919594,-1.9684737494645754
23,0.0050263242168142,0.2526393513253288,1.468950574614607,1.2120027122967205,0.41471229113748576,-2.8195399330832087,-1.9935670571962831
24,-0.0026774130282331996,0.07168540523752873,1.3609484296126444,1.1665969439410702,-0.2295062611074736,-2.7139103203998505,-1.9188812144319733
25,-0.017240175456088,2.972236497566991,1.2649324278151541,1.1246921480188052,-1.5328795072018,-2.616425187493974,-1.8499539588725746
26,-0.0037120840113978996,0.13779567707675924,1.6094517778495947,1.2686417058608765,-0.29260302528671395,-2.951301935348996,-2.086729911187166
27,0.0113885334502796,1.2969869414813735,1.4996800637047585,1.2246142509805928,0.929969044632658,-2.848878759288819,-2.0143111923418893
28,-0.0125300739410576,1.5700275296837074,1.3839234596868473,1.1764027625294184,-1.0651176909952436,-2.7367220656260844,-1.9350103507022463
29,0.00041119307441749996,0.0016907974444891568,1.5073506059571156,1.22774207631616,0.033491812519066286,-2.8561551691085865,-2.0194560071895675
30,0.0160136038802072,2.5643550923218714,1.3896064389905305,1.1788156933933864,1.3584484809588677,-2.7423353822116843,-1.938979268785427
31,-0.000741747083186,0.005501887354149388,1.2901273318612738,1.1358377225032077,-0.0653039662700501,-2.642353671000728,-1.8682867974877018
32,-0.015066507698969101,2.2699965424309516,1.1853237291484109,1.0887257364223604,-1.3838662203833674,-2.532754802339707,-1.7907944763097328
33,-0.0278225646804557,7.74095105398141,1.4533989535559348,1.2055699704106497,-2.307834913221883,-2.8045751376722943,-1.982986138373737
34,0.0057807970320951,0.3341761432627951,2.5227255282761885,1.5883090153607353,0.36395921550455784,-3.6949593012043476,-2.612535844635828
35,-0.0293886100504687,8.6369040069851,2.17455301395226,1.4746365701257582,-1.9929391855487768,-3.430517649894935,-2.4255613108066334
36,0.0028078962858533,0.07884281552108759,3.679265680883241,1.9181412046257806,0.14638631812307615,-4.462263713491322,-3.1550615174337824
37,0.0249457539203854,6.222906386564236,2.9839379390912457,1.7274078670340847,1.4441148727206288,-4.018551619076166,-2.841333095315522
38,-0.0376557819813214,14.179579166248091,2.737855707429416,1.6546467016947806,-2.2757596496431693,-3.849283836776342,-2.721651628605952
39,0.0060014047489609,0.36016858960850445,6.207768000893105,2.491539283433658,0.24087136770688206,-5.79618711510513,-4.098217427047926
40,0.0045736406445655,0.20918188745621524,4.758703232659801,2.181445216515831,0.20966103617630358,-5.074800441778165,-3.588158076382006
41,0.0299983062510333,8.998983779307837,3.8410551732799023,1.9598610086635997,1.530634372459336,-4.559318490920103,-3.223684488421094
42,-0.036189892115928,13.097082913625075,3.415634391428979,1.8481434986031195,-1.9581754416408341,-4.299424698897769,-3.0399255368041254
43,-0.005986689802588399,0.3584045479241593,6.470014953320424,2.5436224077721175,-0.23536079035535631,-5.91735058068331,-4.183886543019006
44,-0.0325410943020543,10.589228183751906,5.166295752559243,2.272948691140925,-1.431668670255818,-5.287669355439602,-3.7386678984977535
45,0.0023079139165833,0.053264666463588684,7.336598829371383,2.7086156666037695,0.08520640063627431,-6.301182297597394,-4.455276303230792
46,-0.0160137167122416,2.564391229399259,5.744678426608052,2.396805880042865,-0.6681273959472765,-5.575804263526305,-3.942394844887123
47,-0.0010444603089485,0.01090897336968796,5.363486951347202,2.315920324913446,-0.04509914687965507,-5.387636324310368,-3.8093499461645153
48,0.0236265728811604,5.58214946108784,4.472369556016389,2.114797757710271,1.117202474563871,-4.919755267675625,-3.478532762038581
49,-0.0040658694910549,0.1653129471829103,3.8469702209543493,1.9613694758903406,-0.20729747969638643,-4.562827710446092,-3.226165696210136
50,0.0203617623415688,4.146013656545293,3.384543271337097,1.8397128230615498,1.106790260214845,-4.27981201477491,-3.0260583095619236
51,-0.0411465941660731,16.93042211467521,2.9817046199312918,1.7267613094841139,-2.3828767728393236,-4.017047501294346,-2.8402696027844194
52,-0.0061435521586439,0.37743233125978126,5.975496046241303,2.4444827768346626,-0.25132319265505837,-5.686717311018769,-4.020816361496903
53,0.0004363838921159,0.0019043090129822148,5.106632234139046,2.2597858823656383,0.019310851329820466,-5.257048083228808,-3.7170170047428543
54,0.0185372079779337,3.4362807961716877,4.457621305167169,2.111307960759673,0.8779964042414634,-4.911636785958769,-3.4727925568670663
