Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2000-01-03,91.36751556396484,93.134399191115,90.38591354888142,93.134399191115,8164300
2000-01-04,87.79450988769531,90.50373224111704,87.72579772655781,90.16998745844914,8089800
2000-01-05,87.9515380859375,88.91350803375245,86.22391858782088,87.91227400643486,12177900
2000-01-06,86.53803253173828,88.89387733750247,86.53803253173828,87.71595493462038,6227200
2000-01-07,91.56388854980469,91.5638885498047,87.99085516299843,88.14791157560529,8066500
2000-01-10,91.87796783447266,92.29024076706324,91.11231810251873,91.87796783447266,5741700
2000-01-11,90.7785415649414,91.77977547926062,90.15031636379994,91.60308714143959,7503700
2000-01-12,89.87549591064453,90.83746605036092,89.75770364863845,90.83746605036092,6907700
2000-01-13,91.0926513671875,91.5638202535695,90.01288933589541,90.75890673933358,5158300
2000-01-14,92.32949829101562,92.64361097922661,91.70127291459367,92.05464968883102,7437300
2000-01-18,91.6031494140625,92.11358273698697,91.21050839642828,91.30866865083684,6488500
2000-01-19,92.34912872314453,92.34912872314453,91.09267799221739,91.28899841892476,6157900
2000-01-20,90.93560791015625,92.32948272915908,90.3466467190283,92.32948272915908,5800100
2000-01-21,90.73930358886719,91.40679305706742,90.50371907067887,91.40679305706742,6244800
2000-01-24,88.16752624511719,91.6227666412741,87.57856481395409,91.50497435504147,7896900
2000-01-25,89.16873168945312,89.16873168945312,87.32331980508312,88.27547380925274,9942500
2000-01-26,88.46195983886719,88.92331271419195,88.01042298216636,88.57975206235436,5158100
2000-01-27,88.1086196899414,89.34543854922534,86.77364060373017,89.10985400459982,10922700
2000-01-28,85.36015319824219,87.99084789202426,85.14420064875262,87.59820689295232,11916200
2000-01-31,87.67671966552734,87.74543182827462,84.81044087664087,85.32087408562066,10768700
2000-02-01,88.54047393798828,89.01164275717048,87.02880730977871,87.79445664094979,8419900
2000-02-02,88.61902618408203,89.36504368408094,88.1871213156616,88.75645046039762,6205900
2000-02-03,89.95398712158203,89.99325119278306,87.95151949032899,88.50121648714355,7997500
2000-02-04,89.5810546875,90.46449704142012,89.28657390285996,89.95406368137739,4925400
2000-02-07,89.44361877441406,89.69883542148769,88.85465728116726,89.56141107306343,5845800
2000-02-08,90.66079711914062,90.81785350219673,90.22889206573632,90.44484459243847,4936400
2000-02-09,88.75642395019531,90.75889137840144,88.74660793339038,90.75889137840144,8511500
2000-02-10,88.93314361572266,89.56136891278737,88.50123872399067,88.9724076967892,6690600
2000-02-11,87.12701416015625,89.16874680383725,86.7147412224899,89.1098506698849,9849800
2000-02-14,87.6374282836914,87.8141166471666,86.8914107490184,87.8141166471666,8528800
2000-02-15,88.62881469726562,88.71715884747887,86.56745119228991,87.48034074449345,11078300
2000-02-16,87.32331085205078,88.5404972892871,87.19570259653406,88.18712058170236,8845400
2000-02-17,86.87179565429688,88.22640670517744,86.83253156586555,88.22640670517744,7584200
2000-02-18,85.0067367553711,87.24478940897671,84.57483185730686,87.24478940897671,9409200
2000-02-22,84.79078674316406,85.6545965641178,83.88771283943969,84.92821103286124,16415400
2000-02-23,85.79203033447266,86.36135959756184,84.49631545985591,85.20306902782869,12119000
2000-02-24,84.06439971923828,86.08649994602052,83.61286277539371,85.87054749461659,17375000
2000-02-25,83.7601089477539,85.8901855493785,83.63250067208055,84.92821547122546,10559900
2000-02-28,85.51716613769531,85.87054285727257,83.37727378025528,83.78954661976208,13397800
2000-02-29,86.34172058105469,86.34172058105469,85.2815903147116,85.47791073440476,8242500
2000-03-01,86.96990966796875,87.32328627610045,86.20426035035005,86.45947678955629,6868000
2000-03-02,87.02887725830078,87.40188620662195,86.28285936165847,87.12703750785899,7600200
2000-03-03,88.6583480834961,89.03135707676147,87.77490573102547,88.22644293339934,12770300
2000-03-06,87.79450988769531,88.79574423569899,87.16628441443811,88.4619994530311,11967100
2000-03-07,86.09632110595703,88.04970930571595,84.94784663675205,87.95154909467279,20062000
2000-03-08,85.98832702636719,86.59692020851728,84.83003677646863,85.73311053062683,11808500
2000-03-09,88.5012435913086,88.5012435913086,85.51717326613581,86.22392676420306,5500900
2000-03-10,88.03003692626953,89.20795891903853,87.65702829522601,88.06930099269516,7924600
2000-03-13,87.06810760498047,88.2460301430411,85.24232767098653,85.87055302461884,10540500
2000-03-14,85.83130645751953,88.01046359768071,85.53682576290316,87.500030393679,8263900
2000-03-15,87.83379364013672,88.22643464880966,85.47794758809907,85.9883808993739,10300800
2000-03-16,91.9368667602539,92.25097948034019,88.50125888431019,88.9724279644396,25601400
2000-03-17,92.54450225830078,93.21368836565557,91.59976893027049,91.83595226227806,10272900
2000-03-20,92.07211303710938,92.80034479905316,91.18642575906962,92.50511570637325,12502300
2000-03-21,93.96157836914062,94.31585327710972,91.00928746939803,91.6587914673414,13612600
2000-03-22,94.53234100341797,95.00470747938758,93.64665386097495,94.1977480829395,8260000
2000-03-23,96.14630126953125,96.65803183923602,93.941923430803,93.941923430803,11654500
2000-03-24,96.71704864501953,98.09478438070357,95.5558142392287,96.28404598523312,11462900
2000-03-27,95.69359588623047,96.8548303899918,95.6148681232636,96.59896516034948,8798600
2000-03-28,95.14247131347656,96.35291028446927,94.84724229616127,95.26056292040268,6334400
2000-03-29,95.24088287353516,96.0380012360849,94.2567861296466,95.45738415719065,6747500
2000-03-30,93.64671325683594,95.68379497648338,92.6626158077309,94.57176485899468,9491900
2000-03-31,94.70948791503906,95.92976810014555,93.48920772993257,94.23712139177204,9249100
2000-04-03,95.26057434082031,95.26057434082031,93.6466555193436,94.55202461431834,8508200
2000-04-04,94.55203247070312,96.36277081110794,89.0509306647994,95.5754932718015,19585500
2000-04-05,93.96157836914062,94.98503921438471,92.97748140255976,93.1349369172127,8387200
2000-04-06,94.77838897705078,95.53614372227277,93.84349675891977,94.63077441629325,6378500
2000-04-07,95.37870025634766,95.81170302267859,94.78824193862367,95.45742803204419,6023600
2000-04-10,95.00471496582031,96.43165547442234,94.6701220189757,95.57549116926113,9624200
2000-04-11,94.72916412353516,95.49675967741379,93.4498382004041,94.47329893890895,9006400
2000-04-12,92.13115692138672,95.20153942079631,92.0524291649916,94.70949094332683,10779200
2000-04-13,90.85181427001953,93.31205620757423,90.55658523751298,92.8790536265646,12225800
2000-04-14,85.65580749511719,89.94647064629723,84.08125221028048,89.82837899993449,29604000
2000-04-17,88.6474380493164,88.6474380493164,84.82914253831122,85.14405350829102,23918200
2000-04-18,90.98963165283203,90.98963165283203,88.03733990549809,88.52938853005374,11069200
2000-04-19,90.14331817626953,91.4029627970733,89.76936117946842,91.00932385307212,6553700
2000-04-20,90.57627868652344,90.65500643853258,89.67090953841824,90.41882318250514,8537600
2000-04-24,89.59222412109375,90.2614103293796,88.49003507215235,89.11985738583316,12893100
2000-04-25,93.31206512451172,93.31206512451172,90.96991457614283,91.08800620043033,14102000
2000-04-26,92.25907897949219,93.68601940104168,91.95400895833335,93.19397097981772,7711100
2000-04-27,91.95404052734375,92.80036410240278,90.06457394116545,90.06457394116545,15595300
2000-04-28,91.38322448730469,93.12507574018568,91.36354255224389,92.58382252601362,8743400
2000-05-01,92.62321472167969,93.51874304081196,91.85561901956633,92.30830366440242,7328300
2000-05-02,90.7730941772461,92.6625601445088,90.7730941772461,91.6390994122415,9411900
2000-05-03,88.6474380493164,90.69435935418517,88.03729804498052,90.69435935418517,12630700
2000-05-04,89.3166275024414,89.66106138990123,88.64744166394802,89.43471912099906,5963600
2000-05-05,90.39911651611328,90.69434550538864,88.76551610878967,88.84424383926309,7862400
2000-05-08,89.7201156616211,90.30073284096031,89.33631786510873,89.9070940753066,5064100
2000-05-09,89.0017318725586,90.32042184059517,88.3423868885403,90.10392050255932,5620300
2000-05-10,86.99412536621094,88.78518088845645,86.75794222042032,88.48995195621818,10293900
2000-05-11,88.98200225830078,89.11977576323511,87.62394913823381,88.25377087507647,7091100
2000-05-12,89.94644165039062,90.35976227941867,89.19852813119701,89.31661973949073,5960800
2000-05-15,91.5013198852539,91.70798021194678,89.43471661832518,89.90708307933745,4441300
2000-05-16,92.38702392578125,93.03652792866808,91.5210185885988,92.30829616785557,8192200
2000-05-17,91.4226303100586,92.0721344651139,90.98962754002171,91.75722335963255,5907200
2000-05-18,90.30076599121094,92.15086886897332,90.30076599121092,91.71786606779489,4325600
2000-05-19,88.88368225097656,90.21221381695109,88.43099742108896,89.7890519107518,6518400
2000-05-22,88.2144546508789,89.10014194657046,86.28562454026174,88.96236836724066,10839400
2000-05-23,86.91543579101562,88.68681016175644,86.63988866667816,88.45062691232432,7979200
2000-05-24,88.33255004882812,88.60809721921218,85.97071715982203,86.91545031542448,11081500
2000-05-25,86.81705474853516,89.31666162975573,86.73832697274868,88.60811164767745,8278900
2000-05-26,86.91543579101562,87.9782604134601,86.4922741357831,87.42716616478519,4814000
2000-05-30,89.7496337890625,90.02518091034472,87.84048587732148,88.17507881030701,5362700
2000-05-31,89.94644165039062,90.69435516958424,89.49375715193133,89.78898617266566,6056500
2000-06-01,91.52103424072266,91.59976201211254,90.06457047001008,90.49757321265437,8961600
2000-06-02,93.11526489257812,93.90254254967031,92.88892256616413,93.80413284253379,8962200
2000-06-05,92.6626205444336,93.3514887940205,92.505164944528,92.87912199430376,6998100
2000-06-06,92.24920654296875,93.07584760864074,91.89493180053789,92.34761619364399,4858900
2000-06-07,92.88890075683594,93.21365271413816,91.95400875854169,92.3476474946656,4919500
2000-06-08,92.52481842041016,93.05623090655163,91.99340593426868,92.8987753551023,5723100
2000-06-09,92.32795715332031,93.19396229396114,91.71781716786883,92.89873326874267,3085300
2000-06-12,91.24546813964844,92.56415803726631,91.24546813964844,92.56415803726631,3678900
2000-06-13,92.95779418945312,93.05620388052813,91.08801005902797,91.20610168831797,6558700
2000-06-14,93.11526489257812,93.76476895967917,92.70194412260473,93.37113013113309,6420500
2000-06-15,93.31206512451172,93.68602193475549,92.48542375449917,93.29238318713047,5881200
2000-06-16,92.54534912109375,93.63040437619078,92.09159874168954,93.63040437619078,5567900
2000-06-19,93.72905731201172,94.16307946752934,92.32834944647755,92.46644740505134,5106900
2000-06-20,93.39369201660156,93.98554050846849,92.80184352473462,93.5515182810994,6480000
2000-06-21,93.35420227050781,93.70931123941507,92.73276157492012,92.76235398899573,3115000
2000-06-22,91.93379211425781,93.2358586978503,91.53922648286614,93.15694557157197,7490500
2000-06-23,91.1446533203125,92.24943699692234,90.82900084128111,92.05215419752773,4863300
2000-06-26,92.31846618652344,92.32833032437861,91.46028619312376,91.77593860448917,5201300
2000-06-27,91.63784790039062,92.6242617636887,91.5490706526938,92.1606472479386,4159500
