mse,rmse,mae,qlike,var_1_hit_rate,var_1_exceptions,var_5_hit_rate,var_5_exceptions,target,freq,exog,window_id,regime,n_train,n_forecast,seasonality_mode,changepoint_prior_scale,seasonality_prior_scale,use_regressors,yearly_seasonality,weekly_seasonality
7.129837902358255,2.6701756313692653,1.4424751845513506,6.066504656677544,0.2,12,0.26666666666666666,16,SPY,daily,no_exog,d_GFC_1,GFC,904,60,additive,0.5,10.0,True,auto,auto
12.144678268490946,3.484921558441588,1.839479706651956,11.202481801069979,0.13333333333333333,8,0.18333333333333332,11,SPY,daily,no_exog,d_GFC_2,GFC,977,60,additive,0.5,10.0,True,auto,auto
4.491644071179093,2.119349917115881,1.216323574714864,2.478366624575031,0.06666666666666667,4,0.18333333333333332,11,SPY,daily,no_exog,d_GFC_3,GFC,1052,60,additive,0.5,10.0,True,auto,auto
1224.3092773132935,34.99013114169899,17.53120706505446,3.8528717629967435,0.05,3,0.13333333333333333,8,SPY,daily,no_exog,d_GFC_4,GFC,1175,60,additive,0.5,10.0,True,auto,auto
82.09625958096953,9.060698625435542,4.637240340060645,4.993846483563247,0.11666666666666667,7,0.16666666666666666,10,SPY,daily,no_exog,d_GFC_5,GFC,1264,60,additive,0.5,10.0,True,auto,auto
1.136939607134191,1.0662737017924577,0.5833709220282735,2.8656525563913737,0.13333333333333333,8,0.16666666666666666,10,SPY,daily,no_exog,d_OIL_CRASH_1,OIL_CRASH,2659,60,additive,0.5,10.0,True,auto,auto
0.5316120327669012,0.7291172969878723,0.42065884934967834,1.6334520584724534,0.11666666666666667,7,0.16666666666666666,10,SPY,daily,no_exog,d_OIL_CRASH_2,OIL_CRASH,2770,60,additive,0.5,10.0,True,auto,auto
0.7063936752182485,0.8404722929509625,0.4424516455643214,2.245383187170873,0.11666666666666667,7,0.2,12,SPY,daily,no_exog,d_OIL_CRASH_3,OIL_CRASH,2833,60,additive,0.5,10.0,True,auto,auto
3.197782636144469,1.788234502559569,1.1194840819427896,5.395729265566884,0.23333333333333334,14,0.31666666666666665,19,SPY,daily,no_exog,d_OIL_CRASH_4,OIL_CRASH,2941,60,additive,0.5,10.0,True,auto,auto
0.8252034309844059,0.9084070843979619,0.49739227896186855,1.172424192595014,0.06666666666666667,4,0.16666666666666666,10,SPY,daily,no_exog,d_OIL_CRASH_5,OIL_CRASH,3020,60,additive,0.5,10.0,True,auto,auto
11108.328103338416,105.3960535472672,30.99118471622869,5.791032442662851,0.06666666666666667,4,0.13333333333333333,8,SPY,daily,no_exog,d_COVID_1,COVID,4038,60,additive,0.5,10.0,True,auto,auto
4.821785331841829,2.1958564005512358,1.0396714095244455,5.143515118058986,0.1,6,0.15,9,SPY,daily,no_exog,d_COVID_2,COVID,4102,60,additive,0.5,10.0,True,auto,auto
1.8230781895240675,1.3502141272865085,0.7321951199985874,1.4817406670427227,0.05,3,0.1,6,SPY,daily,no_exog,d_COVID_3,COVID,4179,60,additive,0.5,10.0,True,auto,auto
19.889650679623223,4.459781460971291,2.7562143256664546,4.41653960198982,0.2,12,0.21666666666666667,13,SPY,daily,no_exog,d_ENERGY_22_1,ENERGY_22,4514,60,additive,0.5,10.0,True,auto,auto
14.562236492704928,3.816049854588502,2.009092307610673,5.328566730884756,0.08333333333333333,5,0.2,12,SPY,daily,no_exog,d_ENERGY_22_2,ENERGY_22,4604,60,additive,0.5,10.0,True,auto,auto
3.37361147837668,1.8367393604909434,1.1009044039263782,1.9101001566229716,0.05,3,0.16666666666666666,10,SPY,daily,no_exog,d_ENERGY_22_3,ENERGY_22,4692,60,additive,0.5,10.0,True,auto,auto
0.3055228770775606,0.5527412388066957,0.3710318183769919,0.35513889983649904,0.016666666666666666,1,0.03333333333333333,2,SPY,daily,no_exog,d_ENERGY_22_4,ENERGY_22,4809,60,additive,0.5,10.0,True,auto,auto
0.2661132536337391,0.5158616613334811,0.210551297984444,0.4620334086724369,0.05,3,0.06666666666666667,4,SPY,daily,no_exog,d_CALM_17_19_1,CALM_17_19,3282,60,additive,0.5,10.0,True,auto,auto
0.06478120771591013,0.2545215270186593,0.13684392201804274,2.129537894245134,0.13333333333333333,8,0.16666666666666666,10,SPY,daily,no_exog,d_CALM_17_19_2,CALM_17_19,3431,60,additive,0.5,10.0,True,auto,auto
8.49512513582773,2.9146397952110186,1.5424958820255212,13.35029592275099,0.21666666666666667,13,0.3,18,SPY,daily,no_exog,d_CALM_17_19_3,CALM_17_19,3668,60,additive,0.5,10.0,True,auto,auto
2.4897007458537,1.5778785586519959,0.6367562490897705,4.3714222236257285,0.08333333333333333,5,0.13333333333333333,8,SPY,daily,no_exog,d_CALM_17_19_4,CALM_17_19,3740,60,additive,0.5,10.0,True,auto,auto
96.35754297441807,9.816187802523853,3.3086738838142606,5.755785863307978,0.18333333333333332,11,0.2,12,SPY,daily,no_exog,d_CALM_17_19_5,CALM_17_19,3977,60,additive,0.5,10.0,True,auto,auto
6.553437672352293,2.55996829518498,1.4257622326858252,4.516368923283568,0.15,9,0.23333333333333334,14,SPY,daily,with_exog,d_GFC_1,GFC,904,60,additive,0.05,10.0,True,auto,auto
11.116887019043093,3.3341996069586313,1.7643628107335012,17.531709230824454,0.13333333333333333,8,0.18333333333333332,11,SPY,daily,with_exog,d_GFC_2,GFC,977,60,additive,0.05,10.0,True,auto,auto
4.48642225083735,2.118117619689084,1.1082167503626752,3.1807961917351695,0.15,9,0.18333333333333332,11,SPY,daily,with_exog,d_GFC_3,GFC,1052,60,additive,0.05,10.0,True,auto,auto
512.0744142263923,22.629061275854824,11.784019328944279,5.93892518404179,0.11666666666666667,7,0.26666666666666666,16,SPY,daily,with_exog,d_GFC_4,GFC,1175,60,additive,0.05,10.0,True,auto,auto
76.32482806311175,8.736408190046511,4.520805052884508,4.3883179555525,0.1,6,0.18333333333333332,11,SPY,daily,with_exog,d_GFC_5,GFC,1264,60,additive,0.05,10.0,True,auto,auto
1.0907147229927403,1.0443728850332816,0.5795117011592078,1.9988435823504,0.13333333333333333,8,0.18333333333333332,11,SPY,daily,with_exog,d_OIL_CRASH_1,OIL_CRASH,2659,60,additive,0.05,10.0,True,auto,auto
0.5310384851311947,0.7287238744073057,0.4196776197546601,1.7476248113576631,0.11666666666666667,7,0.15,9,SPY,daily,with_exog,d_OIL_CRASH_2,OIL_CRASH,2770,60,additive,0.05,10.0,True,auto,auto
0.699000037501421,0.8360622210705498,0.4376354189260093,2.271534604649224,0.15,9,0.21666666666666667,13,SPY,daily,with_exog,d_OIL_CRASH_3,OIL_CRASH,2833,60,additive,0.05,10.0,True,auto,auto
2.9236438760738483,1.7098666252295378,1.0853539095017084,3.2434381221372703,0.21666666666666667,13,0.2833333333333333,17,SPY,daily,with_exog,d_OIL_CRASH_4,OIL_CRASH,2941,60,additive,0.05,10.0,True,auto,auto
0.7993170121068073,0.8940453076364795,0.4877992318102836,0.9862977942042617,0.06666666666666667,4,0.16666666666666666,10,SPY,daily,with_exog,d_OIL_CRASH_5,OIL_CRASH,3020,60,additive,0.05,10.0,True,auto,auto
1014.8086587173531,31.85606156946199,13.066132298972615,4.192102801731392,0.06666666666666667,4,0.13333333333333333,8,SPY,daily,with_exog,d_COVID_1,COVID,4038,60,additive,0.05,10.0,True,auto,auto
4.169611896308924,2.041962755857443,0.9504569720741906,1.7195109410762794,0.03333333333333333,2,0.1,6,SPY,daily,with_exog,d_COVID_2,COVID,4102,60,additive,0.05,10.0,True,auto,auto
1.4522524032738864,1.2050943545108352,0.7035937898685368,0.7612429015068888,0.03333333333333333,2,0.06666666666666667,4,SPY,daily,with_exog,d_COVID_3,COVID,4179,60,additive,0.05,10.0,True,auto,auto
19.455490377692065,4.410837831715429,2.6797382513416235,4.798878589859049,0.2,12,0.25,15,SPY,daily,with_exog,d_ENERGY_22_1,ENERGY_22,4514,60,additive,0.05,10.0,True,auto,auto
14.612931754611592,3.8226864577953017,1.9760378606210165,6.326631761904088,0.11666666666666667,7,0.21666666666666667,13,SPY,daily,with_exog,d_ENERGY_22_2,ENERGY_22,4604,60,additive,0.05,10.0,True,auto,auto
3.6817845951628527,1.9187976952151191,1.1195507286845299,3.385362159517183,0.15,9,0.21666666666666667,13,SPY,daily,with_exog,d_ENERGY_22_3,ENERGY_22,4692,60,additive,0.05,10.0,True,auto,auto
