target,freq,exog,regime,mse_mean,mse_median,rmse_mean,rmse_median,mae_mean,mae_median,qlike_mean,qlike_median,var_1_hit_rate_mean,var_1_hit_rate_median,var_5_hit_rate_mean,var_5_hit_rate_median
SPY,daily,no_exog,CALM_17_19,21.53465266348983,2.4897007458537,3.0158178689478015,1.5778785586519959,1.1670642469864076,0.6367562490897705,5.213815062520454,4.3714222236257285,0.13333333333333333,0.13333333333333333,0.1733333333333333,0.16666666666666666
SPY,daily,no_exog,COVID,3704.9909889532605,4.821785331841829,36.314041358368314,2.1958564005512358,10.921017081917242,1.0396714095244455,4.138762742588187,5.143515118058986,0.07222222222222223,0.06666666666666667,0.12777777777777777,0.13333333333333333
SPY,daily,no_exog,ENERGY_22,9.532755381945599,8.967923985540803,2.666327978714358,2.826394607539723,1.5593107138951243,1.5549983557685256,3.0025863473335117,3.1633198793063957,0.08750000000000001,0.06666666666666667,0.15416666666666667,0.18333333333333335
SPY,daily,no_exog,GFC,266.03433942725826,12.144678268490946,10.465055374812254,3.484921558441588,5.333345174206654,1.839479706651956,5.718814265776509,4.993846483563247,0.11333333333333333,0.11666666666666667,0.18666666666666668,0.18333333333333332
SPY,daily,no_exog,OIL_CRASH,1.279586276449643,0.8252034309844059,1.0665009757377646,0.9084070843979619,0.6126715555693864,0.49739227896186855,2.66252825203932,2.245383187170873,0.13333333333333333,0.11666666666666667,0.2033333333333333,0.16666666666666666
SPY,daily,with_exog,CALM_17_19,19.622726844931986,2.3654067965888794,2.896103826508435,1.5379879052154082,1.1226276687246304,0.6218314666815877,2.906947724131833,2.3385349636079256,0.12666666666666665,0.13333333333333333,0.14333333333333334,0.13333333333333333
SPY,daily,with_exog,COVID,340.14350767231196,4.169611896308924,11.701039559943423,2.041962755857443,4.906727686971781,0.9504569720741906,2.2242855481048536,1.7195109410762794,0.044444444444444446,0.03333333333333333,0.09999999999999999,0.1
SPY,daily,with_exog,ENERGY_22,9.529338417177234,9.147358174887223,2.6895621248618133,2.8707420765052105,1.536798340202867,1.5477942946527732,4.095922041674648,4.092120374688116,0.1375,0.13333333333333333,0.2,0.21666666666666667
SPY,daily,with_exog,GFC,122.11119784634737,11.116887019043093,7.875550997546806,3.3341996069586313,4.120633235122158,1.7643628107335012,7.111223497087496,4.516368923283568,0.13,0.13333333333333333,0.21000000000000002,0.18333333333333332
SPY,daily,with_exog,OIL_CRASH,1.2087428267612021,0.7993170121068073,1.042614182675431,0.8940453076364795,0.6019955762303739,0.4877992318102836,2.049547782939764,1.9988435823504,0.13666666666666666,0.13333333333333333,0.2,0.18333333333333332
