mse,rmse,mae,qlike,var_1_hit_rate,var_1_exceptions,var_5_hit_rate,var_5_exceptions,target,freq,exog,window_id,regime,n_train,n_forecast,lookback,d_model,nhead,num_layers,dim_feedforward,dropout,learning_rate,weight_decay,batch_size,epochs,patience
11.000509262084961,3.316701650619507,2.0369067192077637,2.569991111755371,0.03333333333333333,2,0.08333333333333333,5,SPY,daily,with_exog,d_GFC_2,GFC,977,60,22,32,4,1,64,0.1,0.001,0.0,64,30,5
4.507464408874512,2.1230790615081787,1.4051318168640137,1.3097583055496216,0.03333333333333333,2,0.06666666666666667,4,SPY,daily,with_exog,d_GFC_3,GFC,1052,60,22,32,4,1,64,0.1,0.001,0.0,64,30,5
471.25018310546875,21.708297729492188,11.87443733215332,3.88830304145813,0.06666666666666667,4,0.13333333333333333,8,SPY,daily,with_exog,d_GFC_4,GFC,1175,60,22,32,4,1,64,0.1,0.001,0.0,64,30,5
87.22586822509766,9.339479446411133,6.006887912750244,3.851442575454712,0.06666666666666667,4,0.08333333333333333,5,SPY,daily,with_exog,d_GFC_5,GFC,1264,60,22,32,4,1,64,0.1,0.001,0.0,64,30,5
0.9386546015739441,0.9688419103622437,0.5793771743774414,0.5560665130615234,0.06666666666666667,4,0.15,9,SPY,daily,with_exog,d_OIL_CRASH_1,OIL_CRASH,2659,60,22,32,4,1,64,0.1,0.001,0.0,64,30,5
0.506331741809845,0.7115699052810669,0.4110909700393677,1.205492615699768,0.1,6,0.11666666666666667,7,SPY,daily,with_exog,d_OIL_CRASH_2,OIL_CRASH,2770,60,22,32,4,1,64,0.1,0.001,0.0,64,30,5
0.6323114633560181,0.7951801419258118,0.4450330138206482,0.635802686214447,0.05,3,0.15,9,SPY,daily,with_exog,d_OIL_CRASH_3,OIL_CRASH,2833,60,22,32,4,1,64,0.1,0.001,0.0,64,30,5
2.247912883758545,1.499304175376892,1.0224766731262207,1.1834467649459839,0.016666666666666666,1,0.11666666666666667,7,SPY,daily,with_exog,d_OIL_CRASH_4,OIL_CRASH,2941,60,22,32,4,1,64,0.1,0.001,0.0,64,30,5
0.5993808507919312,0.7741969227790833,0.4813588559627533,0.23856811225414276,0.0,0,0.08333333333333333,5,SPY,daily,with_exog,d_OIL_CRASH_5,OIL_CRASH,3020,60,22,32,4,1,64,0.1,0.001,0.0,64,30,5
580.126708984375,24.085819244384766,11.573488235473633,3.735048532485962,0.03333333333333333,2,0.05,3,SPY,daily,with_exog,d_COVID_1,COVID,4038,60,22,32,4,1,64,0.1,0.001,0.0,64,30,5
3.6592447757720947,1.9129152297973633,1.1220767498016357,1.1399625539779663,0.016666666666666666,1,0.03333333333333333,2,SPY,daily,with_exog,d_COVID_2,COVID,4102,60,22,32,4,1,64,0.1,0.001,0.0,64,30,5
1.5419353246688843,1.2417469024658203,0.9233394861221313,0.719285786151886,0.016666666666666666,1,0.016666666666666666,1,SPY,daily,with_exog,d_COVID_3,COVID,4179,60,22,32,4,1,64,0.1,0.001,0.0,64,30,5
15.809111595153809,3.976067304611206,2.47894287109375,2.0704970359802246,0.06666666666666667,4,0.15,9,SPY,daily,with_exog,d_ENERGY_22_1,ENERGY_22,4514,60,22,32,4,1,64,0.1,0.001,0.0,64,30,5
12.45285415649414,3.528860092163086,1.9670348167419434,1.9872170686721802,0.03333333333333333,2,0.08333333333333333,5,SPY,daily,with_exog,d_ENERGY_22_2,ENERGY_22,4604,60,22,32,4,1,64,0.1,0.001,0.0,64,30,5
3.561549425125122,1.887206792831421,1.407292127609253,1.25652015209198,0.0,0,0.016666666666666666,1,SPY,daily,with_exog,d_ENERGY_22_3,ENERGY_22,4692,60,22,32,4,1,64,0.1,0.001,0.0,64,30,5
0.3121901750564575,0.5587397813796997,0.36568328738212585,1.1025811433792114,0.03333333333333333,2,0.1,6,SPY,daily,with_exog,d_ENERGY_22_4,ENERGY_22,4809,60,22,32,4,1,64,0.1,0.001,0.0,64,30,5
0.25208231806755066,0.5020779967308044,0.29380908608436584,-0.5432206988334656,0.03333333333333333,2,0.03333333333333333,2,SPY,daily,with_exog,d_CALM_17_19_1,CALM_17_19,3282,60,22,32,4,1,64,0.1,0.001,0.0,64,30,5
0.04830989986658096,0.2197951376438141,0.16205334663391113,-0.9629197716712952,0.0,0,0.0,0,SPY,daily,with_exog,d_CALM_17_19_2,CALM_17_19,3431,60,22,32,4,1,64,0.1,0.001,0.0,64,30,5
6.955456733703613,2.637320041656494,1.5526924133300781,1.985395073890686,0.08333333333333333,5,0.16666666666666666,10,SPY,daily,with_exog,d_CALM_17_19_3,CALM_17_19,3668,60,22,32,4,1,64,0.1,0.001,0.0,64,30,5
1.9838149547576904,1.4084796905517578,0.6433945298194885,0.6149111390113831,0.016666666666666666,1,0.03333333333333333,2,SPY,daily,with_exog,d_CALM_17_19_4,CALM_17_19,3740,60,22,32,4,1,64,0.1,0.001,0.0,64,30,5
76.46316528320312,8.744321823120117,2.689441204071045,1.4590413570404053,0.1,6,0.16666666666666666,10,SPY,daily,with_exog,d_CALM_17_19_5,CALM_17_19,3977,60,22,32,4,1,64,0.1,0.001,0.0,64,30,5
