target,freq,exog,regime,mse_mean,mse_median,rmse_mean,rmse_median,mae_mean,mae_median,qlike_mean,qlike_median,var_1_hit_rate_mean,var_1_hit_rate_median,var_5_hit_rate_mean,var_5_hit_rate_median
SPY,daily,no_exog,CALM_17_19,18.360550417006017,3.1231977939605713,2.8353026807308197,1.7672570943832397,1.2052486151456834,1.1578600406646729,0.6126494467258453,0.7743483185768127,0.04666666666666667,0.03333333333333333,0.07666666666666666,0.03333333333333333
SPY,daily,no_exog,COVID,179.21704296271005,4.375208377838135,8.78903583685557,2.0916998386383057,4.273115853468577,1.0266270637512207,2.200669209162394,2.765385866165161,0.05000000000000001,0.05,0.08333333333333333,0.1
SPY,daily,no_exog,ENERGY_22,7.858319088816643,8.352802038192749,2.489990323781967,2.787437319755554,1.6393029019236565,1.8499486446380615,1.4060487821698189,1.6309192180633545,0.025,0.025,0.07916666666666666,0.075
SPY,daily,no_exog,GFC,115.07264080047608,11.612648963928223,7.718182229995728,3.407733678817749,4.33319582939148,1.9328558444976807,2.5056125640869142,2.200244426727295,0.05333333333333333,0.05,0.11666666666666667,0.11666666666666667
SPY,daily,no_exog,OIL_CRASH,0.9535258710384369,0.750349760055542,0.9356577396392822,0.8662273287773132,0.597917115688324,0.4886474609375,0.5410910725593567,0.3825802206993103,0.04,0.03333333333333333,0.11333333333333333,0.11666666666666667
SPY,daily,with_exog,CALM_17_19,17.140565837919713,1.9838149547576904,2.7023989379405977,1.4084796905517578,1.0682781159877777,0.6433945298194885,0.5106414198875427,0.6149111390113831,0.04666666666666667,0.03333333333333333,0.07999999999999999,0.03333333333333333
SPY,daily,with_exog,COVID,195.10929636160532,3.6592447757720947,9.08016045888265,1.9129152297973633,4.539634823799133,1.1220767498016357,1.8647656242052715,1.1399625539779663,0.022222222222222223,0.016666666666666666,0.03333333333333333,0.03333333333333333
SPY,daily,with_exog,ENERGY_22,8.033926337957382,8.007201790809631,2.487718492746353,2.7080334424972534,1.554738275706768,1.6871634721755981,1.604203850030899,1.62186861038208,0.03333333333333333,0.03333333333333333,0.0875,0.09166666666666667
SPY,daily,with_exog,GFC,115.95185708999634,11.000509262084961,7.778147029876709,3.316701650619507,4.558151435852051,2.0369067192077637,2.6841422080993653,2.569991111755371,0.05333333333333333,0.06666666666666667,0.09333333333333334,0.08333333333333333
SPY,daily,with_exog,OIL_CRASH,0.9849183082580566,0.6323114633560181,0.9498186111450195,0.7951801419258118,0.5878673374652863,0.4813588559627533,0.7638753384351731,0.635802686214447,0.04666666666666667,0.05,0.12333333333333334,0.11666666666666667
